year,team,conference,division,expectedWins,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
1906,Arkansas,FBS Independents,,0,8,3,5,0,5,2,3,0,3,2,1,0,5,1,4,0
1907,Arkansas,FBS Independents,,0,9,4,5,0,8,3,5,0,3,2,1,0,6,2,4,0
1908,Arkansas,FBS Independents,,0,9,5,4,0,5,2,3,0,6,5,1,0,3,0,3,0
1909,Arkansas,FBS Independents,,0,7,7,0,0,2,2,0,0,5,5,0,0,2,2,0,0
1910,Arkansas,FBS Independents,,0,8,7,1,0,3,3,0,0,7,6,1,0,1,1,0,0
1911,Arkansas,FBS Independents,,0,9,7,2,0,3,2,1,0,6,6,0,0,3,1,2,0
1912,Arkansas,FBS Independents,,0,10,4,6,0,5,1,4,0,5,3,2,0,5,1,4,0
1913,Arkansas,FBS Independents,,0,9,7,2,0,4,2,2,0,6,5,1,0,3,2,1,0
1914,Arkansas,FBS Independents,,0,9,3,6,0,4,1,3,0,6,3,3,0,3,0,3,0
1915,Arkansas,Southwest,,0,7,5,2,0,2,1,1,0,6,5,1,0,1,0,1,0
1916,Arkansas,Southwest,,0,8,4,4,0,2,0,2,0,5,4,1,0,3,0,3,0
1917,Arkansas,Southwest,,0,7,5,2,0,2,0,2,0,5,5,0,0,2,0,2,0
1918,Arkansas,Southwest,,0,5,3,2,0,1,0,1,0,3,2,1,0,2,1,1,0
1919,Arkansas,Southwest,,0,7,3,4,0,3,1,2,0,4,3,1,0,3,0,3,0
1920,Arkansas,Southwest,,0,7,4,3,0,3,3,0,0,3,2,1,0,4,2,2,0
1921,Arkansas,Southwest,,0,9,5,4,0,3,2,1,0,5,5,0,0,4,0,4,0
1922,Arkansas,Southwest,,0,9,4,5,0,4,1,3,0,6,4,2,0,3,0,3,0
1923,Arkansas,Southwest,,0,9,6,3,0,4,2,2,0,7,6,1,0,2,0,2,0
1924,Arkansas,Southwest,,0,10,7,3,0,4,1,3,0,7,7,0,0,3,0,3,0
1925,Arkansas,Southwest,,0,9,5,4,0,3,1,2,0,5,4,1,0,4,1,3,0
1926,Arkansas,Southwest,,0,10,5,5,0,1,0,1,0,5,4,1,0,5,1,4,0
1927,Arkansas,Southwest,,0,9,8,1,0,3,2,1,0,7,7,0,0,2,1,1,0
1928,Arkansas,Southwest,,0,9,7,2,0,3,2,1,0,7,7,0,0,2,0,2,0
1929,Arkansas,Southwest,,0,9,7,2,0,3,1,2,0,6,5,1,0,3,2,1,0
1930,Arkansas,Southwest,,0,9,3,6,0,4,2,2,0,5,3,2,0,4,0,4,0
1931,Arkansas,Southwest,,0,9,4,5,0,4,0,4,0,5,3,2,0,4,1,3,0
1932,Arkansas,Southwest,,0,9,2,7,0,5,1,4,0,5,2,3,0,4,0,4,0
1933,Arkansas,Southwest,,0,11,7,4,0,5,4,1,0,6,6,0,0,4,1,3,0
1934,Arkansas,Southwest,,0,10,6,4,0,6,3,3,0,7,5,2,0,3,1,2,0
1935,Arkansas,Southwest,,0,10,5,5,0,6,2,4,0,5,3,2,0,5,2,3,0
1936,Arkansas,Southwest,,0,10,7,3,0,6,5,1,0,4,4,0,0,6,3,3,0
1937,Arkansas,Southwest,,0,10,6,4,0,6,3,3,0,4,4,0,0,6,2,4,0
1938,Arkansas,Southwest,,0,10,3,7,0,6,1,5,0,5,3,2,0,5,0,5,0
1939,Arkansas,Southwest,,0,10,5,5,0,6,3,3,0,5,4,1,0,5,1,4,0
