year,team,conference,division,expectedWins,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
1933,Auburn,SEC,,0,10,5,5,0,4,2,2,0,4,3,1,0,6,2,4,0
1934,Auburn,SEC,,0,10,2,8,0,7,1,6,0,3,1,2,0,7,1,6,0
1935,Auburn,SEC,,0,10,8,2,0,7,5,2,0,5,4,1,0,5,4,1,0
1936,Auburn,SEC,,0,11,8,3,0,6,5,1,0,6,5,1,0,5,3,2,0
1937,Auburn,SEC,,0,11,8,3,0,7,5,2,0,5,5,0,0,5,2,3,0
1938,Auburn,SEC,,0,10,5,5,0,7,4,3,0,5,5,0,0,5,0,5,0
1939,Auburn,SEC,,0,11,5,6,0,7,3,4,0,4,4,0,0,7,1,6,0
1940,Auburn,SEC,,0,11,6,5,0,6,3,3,0,5,4,1,0,6,2,4,0
1941,Auburn,SEC,,0,10,5,5,0,5,1,4,0,6,4,2,0,4,1,3,0
1942,Auburn,SEC,,0,11,7,4,0,6,3,3,0,7,6,1,0,4,1,3,0
1944,Auburn,SEC,,0,8,4,4,0,4,0,4,0,4,3,1,0,4,1,3,0
1945,Auburn,SEC,,0,10,5,5,0,5,2,3,0,5,4,1,0,5,1,4,0
1946,Auburn,SEC,,0,10,4,6,0,6,1,5,0,6,3,3,0,4,1,3,0
1947,Auburn,SEC,,0,9,2,7,0,6,1,5,0,4,2,2,0,5,0,5,0
1948,Auburn,SEC,,0,10,1,9,0,7,0,7,0,4,1,3,0,6,0,6,0
1949,Auburn,SEC,,0,9,2,7,0,8,2,6,0,3,2,1,0,6,0,6,0
1950,Auburn,SEC,,0,10,0,10,0,7,0,7,0,4,0,4,0,6,0,6,0
1951,Auburn,SEC,,0,10,5,5,0,7,3,4,0,5,4,1,0,5,1,4,0
1952,Auburn,SEC,,0,10,2,8,0,7,0,7,0,5,2,3,0,5,0,5,0
1953,Auburn,SEC,,0,11,8,3,0,7,5,2,0,6,6,0,0,4,2,2,0
