year,team,conference,division,expectedWins,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
1933,Florida,SEC,,0,9,6,3,0,5,2,3,0,6,6,0,0,3,0,3,0
1934,Florida,SEC,,0,10,6,4,0,5,2,3,0,5,4,1,0,5,2,3,0
1935,Florida,SEC,,0,10,3,7,0,7,1,6,0,5,3,2,0,5,0,5,0
1936,Florida,SEC,,0,10,4,6,0,6,1,5,0,5,4,1,0,5,0,5,0
1937,Florida,SEC,,0,11,4,7,0,7,3,4,0,7,4,3,0,4,0,4,0
1938,Florida,SEC,,0,11,5,6,0,5,3,2,0,7,4,3,0,4,1,3,0
1939,Florida,SEC,,0,11,6,5,0,4,1,3,0,5,3,2,0,6,3,3,0
1940,Florida,SEC,,0,10,5,5,0,5,2,3,0,4,2,2,0,6,3,3,0
1941,Florida,SEC,,0,10,4,6,0,4,1,3,0,5,3,2,0,5,1,4,0
1942,Florida,SEC,,0,10,3,7,0,4,1,3,0,3,2,1,0,7,1,6,0
1944,Florida,SEC,,0,7,4,3,0,3,0,3,0,4,3,1,0,3,1,2,0
1945,Florida,SEC,,0,10,5,5,0,5,2,3,0,6,5,1,0,4,0,4,0
1946,Florida,SEC,,0,9,0,9,0,5,0,5,0,5,0,5,0,4,0,4,0
1947,Florida,SEC,,0,10,5,5,0,4,1,3,0,6,3,3,0,4,2,2,0
1948,Florida,SEC,,0,10,5,5,0,6,1,5,0,5,4,1,0,5,1,4,0
1949,Florida,SEC,,0,10,5,5,0,6,2,4,0,8,4,4,0,2,1,1,0
1950,Florida,SEC,,0,10,5,5,0,6,2,4,0,6,4,2,0,4,1,3,0
1951,Florida,SEC,,0,10,5,5,0,6,2,4,0,5,3,2,0,5,2,3,0
1952,Florida,SEC,,0,11,8,3,0,6,3,3,0,7,7,0,0,3,0,3,0
1953,Florida,SEC,,0,10,3,7,0,6,1,5,0,4,3,1,0,6,0,6,0
1954,Florida,SEC,,0,10,5,5,0,7,5,2,0,5,3,2,0,5,2,3,0
1955,Florida,SEC,,0,10,4,6,0,8,3,5,0,6,4,2,0,4,0,4,0
1956,Florida,SEC,,0,10,6,4,0,7,5,2,0,5,3,2,0,5,3,2,0
1957,Florida,SEC,,0,9,7,2,0,7,5,2,0,6,5,1,0,3,2,1,0
1958,Florida,SEC,,0,11,6,5,0,7,2,5,0,7,5,2,0,3,1,2,0
1959,Florida,SEC,,0,10,6,4,0,6,2,4,0,6,5,1,0,4,1,3,0
1960,Florida,SEC,,0,11,9,2,0,6,5,1,0,8,6,2,0,2,2,0,0
1961,Florida,SEC,,0,10,4,6,0,6,3,3,0,4,2,2,0,6,2,4,0
1962,Florida,SEC,,0,11,7,4,0,6,4,2,0,7,5,2,0,3,1,2,0
1963,Florida,SEC,,0,10,6,4,0,7,3,4,0,4,3,1,0,6,3,3,0
1964,Florida,SEC,,0,10,7,3,0,6,4,2,0,5,5,0,0,5,2,3,0
1965,Florida,SEC,,0,11,7,4,0,6,4,2,0,6,5,1,0,4,2,2,0
1966,Florida,SEC,,0,11,9,2,0,5,4,1,0,5,4,1,0,5,4,1,0
1967,Florida,SEC,,0,10,6,4,0,6,4,2,0,6,4,2,0,4,2,2,0
1968,Florida,SEC,,0,10,7,3,0,5,3,2,0,6,5,1,0,4,2,2,0
1969,Florida,SEC,,0,11,9,2,0,6,4,2,0,6,6,0,0,4,2,2,0
1970,Florida,SEC,,0,11,7,4,0,6,3,3,0,8,6,2,0,3,1,2,0
1971,Florida,SEC,,0,11,4,7,0,7,1,6,0,6,3,3,0,5,1,4,0
1972,Florida,SEC,,0,11,5,6,0,7,3,4,0,6,3,3,0,5,2,3,0
1973,Florida,SEC,,0,12,7,5,0,7,3,4,0,7,5,2,0,4,2,2,0
1974,Florida,SEC,,0,12,8,4,0,6,3,3,0,7,7,0,0,4,1,3,0
1975,Florida,SEC,,0,12,9,3,0,6,5,1,0,5,5,0,0,6,4,2,0
1976,Florida,SEC,,0,12,8,4,0,6,4,2,0,7,6,1,0,4,2,2,0
1977,Florida,SEC,,0,11,6,5,0,6,3,3,0,5,3,2,0,6,3,3,0
1978,Florida,SEC,,0,11,4,7,0,6,3,3,0,6,3,3,0,5,1,4,0
1979,Florida,SEC,,0,11,0,11,0,6,0,6,0,4,0,4,0,7,0,7,0
1980,Florida,SEC,,0,12,8,4,0,6,4,2,0,6,4,2,0,5,3,2,0
1981,Florida,SEC,,0,12,7,5,0,6,3,3,0,6,6,0,0,5,1,4,0
1982,Florida,SEC,,0,12,8,4,0,6,3,3,0,6,5,1,0,5,3,2,0
1983,Florida,SEC,,0,12,10,2,0,6,4,2,0,7,7,0,0,4,2,2,0
1984,Florida,SEC,,0,11,9,2,0,6,5,1,0,6,6,0,0,5,3,2,0
1985,Florida,SEC,,0,11,9,2,0,6,5,1,0,5,5,0,0,6,4,2,0
1986,Florida,SEC,,0,11,6,5,0,6,2,4,0,7,4,3,0,4,2,2,0
1987,Florida,SEC,,0,12,6,6,0,6,3,3,0,6,5,1,0,5,1,4,0
1988,Florida,SEC,,0,12,7,5,0,7,4,3,0,6,4,2,0,5,2,3,0
1989,Florida,SEC,,0,12,7,5,0,7,4,3,0,7,5,2,0,4,2,2,0
1990,Florida,SEC,,0,11,9,2,0,7,6,1,0,7,7,0,0,4,2,2,0
1991,Florida,SEC,,0,12,10,2,0,7,7,0,0,8,8,0,0,3,2,1,0
1992,Florida,SEC,East,0,13,9,4,0,9,6,3,0,7,7,0,0,4,1,3,0
1993,Florida,SEC,East,0,13,11,2,0,9,8,1,0,7,6,1,0,4,3,1,0
1994,Florida,SEC,East,0,13,11,2,0,9,8,1,0,8,7,1,0,3,3,0,0
1995,Florida,SEC,East,0,13,12,1,0,9,9,0,0,6,6,0,0,5,5,0,0
1996,Florida,SEC,East,0,13,12,1,0,9,9,0,0,7,7,0,0,4,3,1,0
1997,Florida,SEC,East,0,12,10,2,0,8,6,2,0,6,6,0,0,5,3,2,0
1998,Florida,SEC,East,0,12,10,2,0,8,7,1,0,7,7,0,0,4,2,2,0
1999,Florida,SEC,East,0,13,9,4,0,9,7,2,0,7,5,2,0,4,4,0,0
2000,Florida,SEC,East,0,13,10,3,0,9,8,1,0,7,7,0,0,4,2,2,0
2001,Florida,SEC,East,0,12,10,2,0,8,6,2,0,8,7,1,0,4,3,1,0
2002,Florida,SEC,East,0,13,8,5,0,8,6,2,0,8,5,3,0,5,3,2,0
2003,Florida,SEC,East,0,13,8,5,0,8,6,2,0,8,4,4,0,5,4,1,0
2004,Florida,SEC,East,0,12,7,5,0,8,4,4,0,7,5,2,0,4,2,2,0
2005,Florida,SEC,East,0,12,9,3,0,8,5,3,0,8,8,0,0,4,1,3,0
2006,Florida,SEC,East,0,14,13,1,0,9,8,1,0,8,8,0,0,6,5,1,0
2007,Florida,SEC,East,0,13,9,4,0,8,5,3,0,9,6,3,0,4,3,1,0
2008,Florida,SEC,East,0,14,13,1,0,9,8,1,0,7,6,1,0,4,4,0,0
2009,Florida,SEC,East,0,14,13,1,0,9,8,1,0,7,7,0,0,4,4,0,0
2010,Florida,SEC,East,7.6,13,8,5,0,8,4,4,0,7,4,3,0,4,2,2,0
2011,Florida,SEC,East,7.6,13,7,6,0,8,3,5,0,7,5,2,0,4,1,3,0
2012,Florida,SEC,East,7.8,13,11,2,0,8,7,1,0,7,7,0,0,4,4,0,0
2013,Florida,SEC,East,5.8,12,4,8,0,8,3,5,0,6,3,3,0,5,1,4,0
2014,Florida,SEC,East,7.2,12,7,5,0,8,4,4,0,6,3,3,0,4,2,2,0
2015,Florida,SEC,East,9.1,14,10,4,0,9,7,2,0,7,6,1,0,4,3,1,0
2016,Florida,SEC,East,8.5,13,9,4,0,9,6,3,0,5,5,0,0,5,2,3,0
2017,Florida,SEC,East,3.6,11,4,7,0,8,3,5,0,6,3,3,0,3,1,2,0
2018,Florida,SEC,East,9.6,13,10,3,0,8,5,3,0,7,5,2,0,4,4,0,0
2019,Florida,SEC,East,10.8,13,11,2,0,8,6,2,0,6,6,0,0,4,3,1,0
2020,Florida,SEC,East,8,12,8,4,0,11,8,3,0,5,4,1,0,4,3,1,0
2021,Florida,SEC,East,8.3,13,6,7,0,8,2,6,0,6,5,1,0,5,1,4,0
