year,team,conference,division,expectedWins,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
1915,Kentucky,FBS Independents,,0,8,6,2,0,3,1,2,0,5,5,0,0,3,1,2,0
1916,Kentucky,FBS Independents,,0,7,5,2,0,4,2,2,0,5,4,1,0,2,1,1,0
1917,Kentucky,FBS Independents,,0,9,3,6,0,5,1,4,0,5,3,2,0,4,0,4,0
1918,Kentucky,FBS Independents,,0,3,2,1,0,1,0,1,0,0,0,0,0,3,2,1,0
1919,Kentucky,FBS Independents,,0,8,3,5,0,4,2,2,0,3,2,1,0,5,1,4,0
1920,Kentucky,FBS Independents,,0,8,3,5,0,4,0,4,0,4,3,1,0,4,0,4,0
1921,Kentucky,Southern,,0,8,4,4,0,1,0,1,0,6,4,2,0,2,0,2,0
1922,Kentucky,Southern,,0,9,6,3,0,4,2,2,0,6,5,1,0,3,1,2,0
1923,Kentucky,Southern,,0,9,5,4,0,4,1,3,0,5,4,1,0,4,1,3,0
1924,Kentucky,Southern,,0,9,4,5,0,5,2,3,0,6,3,3,0,3,1,2,0
1925,Kentucky,Southern,,0,9,6,3,0,6,4,2,0,6,5,1,0,3,1,2,0
1926,Kentucky,Southern,,0,9,2,7,0,6,1,5,0,3,1,2,0,6,1,5,0
1927,Kentucky,Southern,,0,10,3,7,0,6,1,5,0,5,2,3,0,5,1,4,0
1928,Kentucky,Southern,,0,8,5,3,0,5,3,2,0,5,5,0,0,3,0,3,0
1929,Kentucky,Southern,,0,8,6,2,0,5,3,2,0,4,4,0,0,4,2,2,0
1930,Kentucky,Southern,,0,8,5,3,0,7,4,3,0,6,5,1,0,2,0,2,0
1931,Kentucky,Southern,,0,9,6,3,0,8,5,3,0,5,4,1,0,4,2,2,0
1932,Kentucky,Southern,,0,9,4,5,0,9,4,5,0,5,3,2,0,4,1,3,0
1933,Kentucky,SEC,,0,10,5,5,0,5,2,3,0,6,4,2,0,4,1,3,0
1934,Kentucky,SEC,,0,10,5,5,0,4,1,3,0,6,3,3,0,4,2,2,0
1935,Kentucky,SEC,,0,9,5,4,0,6,3,3,0,4,4,0,0,5,1,4,0
1936,Kentucky,SEC,,0,10,6,4,0,4,1,3,0,5,4,1,0,5,2,3,0
