year,team,conference,division,expectedWins,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
1933,LSU,SEC,,0,10,8,2,0,5,4,1,0,8,8,0,0,2,0,2,0
1934,LSU,SEC,,0,11,8,3,0,6,4,2,0,6,5,1,0,5,3,2,0
1935,LSU,SEC,,0,11,9,2,0,5,5,0,0,6,5,1,0,4,4,0,0
1936,LSU,SEC,,0,11,10,1,0,6,6,0,0,8,8,0,0,2,2,0,0
1937,LSU,SEC,,0,11,9,2,0,6,5,1,0,7,7,0,0,3,2,1,0
1938,LSU,SEC,,0,10,6,4,0,6,2,4,0,7,5,2,0,3,1,2,0
1939,LSU,SEC,,0,9,4,5,0,6,1,5,0,6,2,4,0,3,2,1,0
1940,LSU,SEC,,0,10,6,4,0,6,3,3,0,7,5,2,0,3,1,2,0
1941,LSU,SEC,,0,10,4,6,0,6,2,4,0,6,3,3,0,4,1,3,0
1942,LSU,SEC,,0,10,7,3,0,5,3,2,0,6,6,0,0,4,1,3,0
1943,LSU,SEC,,0,9,6,3,0,4,2,2,0,5,4,1,0,3,1,2,0
1944,LSU,SEC,,0,8,2,6,0,6,2,4,0,5,1,4,0,3,1,2,0
1945,LSU,SEC,,0,9,7,2,0,7,5,2,0,6,4,2,0,3,3,0,0
1946,LSU,SEC,,0,11,10,1,0,6,5,1,0,7,6,1,0,3,3,0,0
1947,LSU,SEC,,0,9,6,3,0,6,3,3,0,6,5,1,0,3,1,2,0
1948,LSU,SEC,,0,10,3,7,0,6,1,5,0,6,2,4,0,4,1,3,0
1949,LSU,SEC,,0,11,8,3,0,6,4,2,0,8,7,1,0,2,1,1,0
1950,LSU,SEC,,0,11,5,6,0,7,3,4,0,6,4,2,0,5,1,4,0
1951,LSU,SEC,,0,11,7,4,0,7,4,3,0,7,5,2,0,4,2,2,0
1952,LSU,SEC,,0,10,3,7,0,7,2,5,0,5,0,5,0,5,3,2,0
1953,LSU,SEC,,0,11,7,4,0,8,4,4,0,7,5,2,0,4,2,2,0
1954,LSU,SEC,,0,11,5,6,0,7,2,5,0,7,4,3,0,4,1,3,0
1955,LSU,SEC,,0,10,4,6,0,6,2,4,0,5,3,2,0,5,1,4,0
1956,LSU,SEC,,0,10,3,7,0,6,1,5,0,6,2,4,0,4,1,3,0
1957,LSU,SEC,,0,10,5,5,0,8,4,4,0,6,4,2,0,4,1,3,0
1958,LSU,SEC,,0,11,11,0,0,6,6,0,0,5,5,0,0,5,5,0,0
1959,LSU,SEC,,0,11,9,2,0,7,5,2,0,7,7,0,0,3,2,1,0
1960,LSU,SEC,,0,10,6,4,0,6,3,3,0,7,5,2,0,3,1,2,0
1961,LSU,SEC,,0,11,10,1,0,6,6,0,0,6,6,0,0,4,3,1,0
1962,LSU,SEC,,0,11,9,2,0,6,5,1,0,5,4,1,0,5,4,1,0
1963,LSU,SEC,,0,11,7,4,0,6,4,2,0,6,5,1,0,4,2,2,0
1964,LSU,SEC,,0,11,8,3,0,7,4,3,0,5,4,1,0,5,3,2,0
1965,LSU,SEC,,0,11,8,3,0,6,3,3,0,7,6,1,0,3,1,2,0
1966,LSU,SEC,,0,10,5,5,0,5,2,3,0,5,3,2,0,5,2,3,0
1967,LSU,SEC,,0,11,8,3,0,6,4,2,0,8,6,2,0,2,1,1,0
1968,LSU,SEC,,0,11,8,3,0,4,2,2,0,7,6,1,0,3,1,2,0
1969,LSU,SEC,,0,10,9,1,0,5,4,1,0,6,6,0,0,4,3,1,0
1970,LSU,SEC,,0,12,9,3,0,5,5,0,0,7,6,1,0,4,3,1,0
1971,LSU,SEC,,0,12,9,3,0,5,3,2,0,7,5,2,0,4,3,1,0
1972,LSU,SEC,,0,12,10,2,0,7,5,2,0,8,8,0,0,3,2,1,0
1973,LSU,SEC,,0,12,9,3,0,6,5,1,0,7,6,1,0,4,3,1,0
1974,LSU,SEC,,0,11,6,5,0,6,2,4,0,7,6,1,0,4,0,4,0
