year,team,conference,division,expectedWins,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
1933,Mississippi State,SEC,,0,10,4,6,0,7,2,5,0,4,4,0,0,6,0,6,0
1934,Mississippi State,SEC,,0,10,4,6,0,5,0,5,0,2,1,1,0,8,3,5,0
1935,Mississippi State,SEC,,0,11,8,3,0,5,2,3,0,3,3,0,0,8,5,3,0
1936,Mississippi State,SEC,,0,11,8,3,0,5,3,2,0,7,7,0,0,3,1,2,0
1937,Mississippi State,SEC,,0,10,6,4,0,5,3,2,0,6,5,1,0,4,1,3,0
1938,Mississippi State,SEC,,0,10,4,6,0,5,1,4,0,5,3,2,0,5,1,4,0
1939,Mississippi State,SEC,,0,10,8,2,0,5,3,2,0,5,5,0,0,5,3,2,0
1940,Mississippi State,SEC,,0,11,11,0,0,5,5,0,0,5,5,0,0,5,5,0,0
1941,Mississippi State,SEC,,0,10,9,1,0,5,5,0,0,4,4,0,0,6,5,1,0
1942,Mississippi State,SEC,,0,10,8,2,0,7,5,2,0,4,4,0,0,6,4,2,0
1944,Mississippi State,SEC,,0,8,6,2,0,5,3,2,0,4,4,0,0,4,2,2,0
1945,Mississippi State,SEC,,0,9,6,3,0,5,2,3,0,5,4,1,0,4,2,2,0
1946,Mississippi State,SEC,,0,10,8,2,0,5,3,2,0,4,4,0,0,6,4,2,0
1947,Mississippi State,SEC,,0,10,7,3,0,4,2,2,0,5,4,1,0,5,3,2,0
1948,Mississippi State,SEC,,0,9,4,5,0,6,3,3,0,3,1,2,0,6,3,3,0
1949,Mississippi State,SEC,,0,9,1,8,0,6,0,6,0,3,1,2,0,6,0,6,0
1950,Mississippi State,SEC,,0,9,4,5,0,7,3,4,0,4,3,1,0,5,1,4,0
1951,Mississippi State,SEC,,0,9,4,5,0,7,2,5,0,4,2,2,0,5,2,3,0
1952,Mississippi State,SEC,,0,9,5,4,0,7,3,4,0,3,3,0,0,6,2,4,0
1953,Mississippi State,SEC,,0,10,6,4,0,7,4,3,0,3,2,1,0,7,4,3,0
1954,Mississippi State,SEC,,0,10,6,4,0,6,3,3,0,3,3,0,0,7,3,4,0
1955,Mississippi State,SEC,,0,10,6,4,0,8,4,4,0,4,3,1,0,6,3,3,0
1956,Mississippi State,SEC,,0,10,4,6,0,7,2,5,0,3,2,1,0,7,2,5,0
1957,Mississippi State,SEC,,0,9,6,3,0,7,4,3,0,3,3,0,0,6,3,3,0
1958,Mississippi State,SEC,,0,9,3,6,0,7,1,6,0,4,2,2,0,5,1,4,0
1959,Mississippi State,SEC,,0,9,2,7,0,7,0,7,0,3,2,1,0,6,0,6,0
1960,Mississippi State,SEC,,0,9,2,7,0,6,0,6,0,4,2,2,0,5,0,5,0
1961,Mississippi State,SEC,,0,10,5,5,0,6,1,5,0,3,2,1,0,7,3,4,0
1962,Mississippi State,SEC,,0,9,3,6,0,7,2,5,0,5,1,4,0,4,2,2,0
1963,Mississippi State,SEC,,0,11,8,3,0,7,5,2,0,6,6,0,0,4,1,3,0
1964,Mississippi State,SEC,,0,10,4,6,0,7,2,5,0,5,3,2,0,5,1,4,0
1965,Mississippi State,SEC,,0,10,4,6,0,6,1,5,0,4,2,2,0,6,2,4,0
1966,Mississippi State,SEC,,0,10,2,8,0,6,0,6,0,4,2,2,0,6,0,6,0
1967,Mississippi State,SEC,,0,10,1,9,0,6,0,6,0,4,0,4,0,6,1,5,0
1968,Mississippi State,SEC,,0,10,1,9,0,5,1,4,0,5,1,4,0,5,0,5,0
1969,Mississippi State,SEC,,0,10,3,7,0,5,0,5,0,5,2,3,0,5,1,4,0
1970,Mississippi State,SEC,,0,11,6,5,0,7,3,4,0,6,5,1,0,5,1,4,0
1971,Mississippi State,SEC,,0,11,2,9,0,8,1,7,0,6,2,4,0,5,0,5,0
1972,Mississippi State,SEC,,0,11,4,7,0,7,1,6,0,5,3,2,0,6,1,5,0
1973,Mississippi State,SEC,,0,11,4,7,0,7,2,5,0,4,2,2,0,7,2,5,0
1974,Mississippi State,SEC,,0,12,9,3,0,6,3,3,0,7,6,1,0,4,2,2,0
1975,Mississippi State,SEC,,0,11,7,4,0,6,2,4,0,5,3,2,0,6,4,2,0
1976,Mississippi State,SEC,,0,11,9,2,0,6,4,2,0,7,7,0,0,4,2,2,0
1977,Mississippi State,SEC,,0,11,5,6,0,6,2,4,0,5,2,3,0,6,3,3,0
1978,Mississippi State,SEC,,0,11,6,5,0,6,2,4,0,5,4,1,0,6,2,4,0
1979,Mississippi State,SEC,,0,11,3,8,0,6,2,4,0,5,3,2,0,6,0,6,0
1980,Mississippi State,SEC,,0,12,9,3,0,6,5,1,0,6,5,1,0,5,4,1,0
1981,Mississippi State,SEC,,0,12,8,4,0,6,4,2,0,5,4,1,0,6,3,3,0
1982,Mississippi State,SEC,,0,11,5,6,0,6,2,4,0,6,3,3,0,5,2,3,0
1983,Mississippi State,SEC,,0,11,3,8,0,6,1,5,0,5,2,3,0,6,1,5,0
1984,Mississippi State,SEC,,0,11,4,7,0,6,1,5,0,6,3,3,0,5,1,4,0
1985,Mississippi State,SEC,,0,11,5,6,0,6,0,6,0,6,5,1,0,5,0,5,0
1986,Mississippi State,SEC,,0,11,6,5,0,6,2,4,0,5,2,3,0,6,4,2,0
1987,Mississippi State,SEC,,0,11,4,7,0,6,1,5,0,6,4,2,0,5,0,5,0
1988,Mississippi State,SEC,,0,11,1,10,0,7,0,7,0,4,1,3,0,7,0,7,0
1989,Mississippi State,SEC,,0,11,5,6,0,7,1,6,0,4,4,0,0,7,1,6,0
1990,Mississippi State,SEC,,0,11,5,6,0,7,1,6,0,6,3,3,0,5,2,3,0
1991,Mississippi State,SEC,,0,12,7,5,0,7,4,3,0,6,5,1,0,5,2,3,0
1992,Mississippi State,SEC,West,0,12,7,5,0,8,4,4,0,5,4,1,0,6,3,3,0
1993,Mississippi State,SEC,West,0,11,4,7,0,8,3,5,0,6,3,3,0,5,1,4,0
1994,Mississippi State,SEC,West,0,12,8,4,0,8,5,3,0,6,4,2,0,5,4,1,0
1995,Mississippi State,SEC,West,0,11,3,8,0,8,1,7,0,6,2,4,0,5,1,4,0
1996,Mississippi State,SEC,West,0,11,5,6,0,8,3,5,0,6,2,4,0,5,3,2,0
1997,Mississippi State,SEC,West,0,11,7,4,0,8,4,4,0,7,5,2,0,4,2,2,0
1998,Mississippi State,SEC,West,0,13,8,5,0,9,6,3,0,5,5,0,0,6,3,3,0
1999,Mississippi State,SEC,West,0,12,10,2,0,8,6,2,0,7,7,0,0,4,2,2,0
2000,Mississippi State,SEC,West,0,12,8,4,0,8,4,4,0,5,4,1,0,6,3,3,0
2001,Mississippi State,SEC,West,0,11,3,8,0,8,2,6,0,7,3,4,0,4,0,4,0
2002,Mississippi State,SEC,West,0,12,3,9,0,8,0,8,0,6,2,4,0,6,1,5,0
2003,Mississippi State,SEC,West,0,12,2,10,0,8,1,7,0,6,2,4,0,6,0,6,0
2004,Mississippi State,SEC,West,0,11,3,8,0,8,2,6,0,7,3,4,0,4,0,4,0
2005,Mississippi State,SEC,West,0,11,3,8,0,8,1,7,0,6,2,4,0,5,1,4,0
2006,Mississippi State,SEC,West,0,12,3,9,0,8,1,7,0,7,1,6,0,5,2,3,0
2007,Mississippi State,SEC,West,0,13,8,5,0,8,4,4,0,7,5,2,0,6,3,3,0
2008,Mississippi State,SEC,West,0,12,4,8,0,8,2,6,0,6,4,2,0,6,0,6,0
2009,Mississippi State,SEC,West,0,12,5,7,0,8,3,5,0,7,2,5,0,5,3,2,0
2010,Mississippi State,SEC,West,7.1,13,9,4,0,8,4,4,0,7,5,2,0,5,3,2,0
2011,Mississippi State,SEC,West,5.9,13,7,6,0,8,2,6,0,6,3,3,0,6,3,3,0
2012,Mississippi State,SEC,West,5.6,13,8,5,0,8,4,4,0,7,6,1,0,5,2,3,0
2013,Mississippi State,SEC,West,7.1,13,7,6,0,8,3,5,0,7,5,2,0,4,1,3,0
2014,Mississippi State,SEC,West,9.5,13,10,3,0,8,6,2,0,7,7,0,0,5,3,2,0
2015,Mississippi State,SEC,West,9.8,13,9,4,0,8,4,4,0,7,4,3,0,5,4,1,0
2016,Mississippi State,SEC,West,5.4,13,6,7,0,8,3,5,0,6,3,3,0,6,2,4,0
2017,Mississippi State,SEC,West,9.5,13,9,4,0,8,4,4,0,7,5,2,0,5,3,2,0
2018,Mississippi State,SEC,West,8.7,13,8,5,0,8,4,4,0,7,6,1,0,5,2,3,0
2019,Mississippi State,SEC,West,6.3,13,6,7,0,8,3,5,0,7,4,3,0,4,1,3,0
2020,Mississippi State,SEC,West,2.5,11,4,7,0,10,3,7,0,5,2,3,0,5,1,4,0
2021,Mississippi State,SEC,West,6.1,13,7,6,0,8,4,4,0,7,4,3,0,5,3,2,0
