year,team,conference,division,expectedWins,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
1901,Missouri,FBS Independents,,0,8,1,7,0,3,1,2,0,5,1,4,0,3,0,3,0
1902,Missouri,FBS Independents,,0,8,5,3,0,5,2,3,0,3,3,0,0,5,2,3,0
1903,Missouri,FBS Independents,,0,9,2,7,0,6,1,5,0,7,2,5,0,2,0,2,0
1904,Missouri,FBS Independents,,0,9,3,6,0,3,0,3,0,6,3,3,0,3,0,3,0
1905,Missouri,FBS Independents,,0,9,5,4,0,3,1,2,0,6,5,1,0,3,0,3,0
1906,Missouri,FBS Independents,,0,8,6,2,0,2,2,0,0,6,6,0,0,2,0,2,0
1907,Missouri,Missouri Valley,,0,9,7,2,0,2,1,1,0,6,6,0,0,3,1,2,0
1908,Missouri,Missouri Valley,,0,8,6,2,0,4,2,2,0,6,5,1,0,2,1,1,0
1909,Missouri,Missouri Valley,,0,8,8,0,0,4,4,0,0,6,6,0,0,2,2,0,0
1910,Missouri,Missouri Valley,,0,8,5,3,0,3,2,1,0,6,5,1,0,2,0,2,0
1911,Missouri,Missouri Valley,,0,8,3,5,0,4,1,3,0,4,3,1,0,4,0,4,0
1912,Missouri,Missouri Valley,,0,8,5,3,0,5,2,3,0,5,3,2,0,3,2,1,0
1913,Missouri,Missouri Valley,,0,8,7,1,0,4,4,0,0,5,5,0,0,3,2,1,0
1914,Missouri,Missouri Valley,,0,8,5,3,0,5,4,1,0,5,3,2,0,3,2,1,0
1915,Missouri,Missouri Valley,,0,8,2,6,0,5,1,4,0,4,2,2,0,4,0,4,0
1916,Missouri,Missouri Valley,,0,8,6,2,0,5,3,2,0,4,4,0,0,4,2,2,0
1917,Missouri,Missouri Valley,,0,8,3,5,0,6,2,4,0,5,2,3,0,3,1,2,0
1919,Missouri,Missouri Valley,,0,8,7,1,0,5,5,0,0,6,5,1,0,2,2,0,0
1920,Missouri,Missouri Valley,,0,8,7,1,0,6,5,1,0,5,4,1,0,3,3,0,0
1921,Missouri,Missouri Valley,,0,8,6,2,0,6,4,2,0,4,4,0,0,4,2,2,0
1922,Missouri,Missouri Valley,,0,8,5,3,0,7,4,3,0,4,3,1,0,4,2,2,0
1923,Missouri,Missouri Valley,,0,8,4,4,0,6,2,4,0,5,3,2,0,3,1,2,0
1924,Missouri,Missouri Valley,,0,9,7,2,0,6,5,1,0,4,4,0,0,4,3,1,0
1925,Missouri,Missouri Valley,,0,8,7,1,0,6,5,1,0,5,5,0,0,3,2,1,0
1926,Missouri,Missouri Valley,,0,8,5,3,0,5,4,1,0,2,2,0,0,6,3,3,0
1927,Missouri,Missouri Valley,,0,9,7,2,0,6,5,1,0,4,4,0,0,5,3,2,0
1928,Missouri,Big 6,,0,8,4,4,0,5,3,2,0,4,3,1,0,4,1,3,0
1929,Missouri,Big 6,,0,8,5,3,0,5,3,2,0,3,2,1,0,5,3,2,0
1930,Missouri,Big 6,,0,9,4,5,0,5,3,2,0,6,4,2,0,3,0,3,0
1931,Missouri,Big 6,,0,10,2,8,0,5,1,4,0,4,1,3,0,6,1,5,0
1932,Missouri,Big 6,,0,9,1,8,0,5,1,4,0,3,0,3,0,6,1,5,0
1933,Missouri,Big 6,,0,9,1,8,0,5,0,5,0,5,1,4,0,4,0,4,0
1934,Missouri,Big 6,,0,9,1,8,0,5,0,5,0,5,1,4,0,4,0,4,0
1935,Missouri,Big 6,,0,9,5,4,0,5,2,3,0,7,5,2,0,2,0,2,0
1936,Missouri,Big 6,,0,9,7,2,0,5,4,1,0,5,5,0,0,4,2,2,0
1937,Missouri,Big 6,,0,10,4,6,0,5,3,2,0,5,2,3,0,5,2,3,0
1938,Missouri,Big 6,,0,9,6,3,0,5,2,3,0,4,3,1,0,5,3,2,0
1939,Missouri,Big 6,,0,10,8,2,0,5,5,0,0,4,4,0,0,5,4,1,0
1940,Missouri,Big 6,,0,9,6,3,0,5,3,2,0,4,4,0,0,5,2,3,0
1941,Missouri,Big 6,,0,10,8,2,0,5,5,0,0,4,4,0,0,5,4,1,0
1942,Missouri,Big 6,,0,12,9,3,0,5,5,0,0,8,7,1,0,4,2,2,0
1943,Missouri,Big 6,,0,8,3,5,0,5,3,2,0,4,2,2,0,4,1,3,0
1944,Missouri,Big 6,,0,10,4,6,0,5,3,2,0,5,3,2,0,5,1,4,0
1945,Missouri,Big 6,,0,10,6,4,0,5,5,0,0,5,4,1,0,4,2,2,0
1946,Missouri,Big 6,,0,10,6,4,0,5,3,2,0,5,3,2,0,5,3,2,0
1947,Missouri,Big 6,,0,10,6,4,0,5,3,2,0,4,3,1,0,6,3,3,0
1948,Missouri,Big 7,,0,11,8,3,0,6,5,1,0,4,4,0,0,6,4,2,0
1949,Missouri,Big 7,,0,11,7,4,0,6,5,1,0,4,3,1,0,6,4,2,0
1950,Missouri,Big 7,,0,10,4,6,0,6,3,3,0,4,2,2,0,6,2,4,0
1951,Missouri,Big 7,,0,10,2,8,0,6,1,5,0,5,2,3,0,5,0,5,0
1952,Missouri,Big 7,,0,10,5,5,0,6,5,1,0,5,3,2,0,5,2,3,0
1953,Missouri,Big 7,,0,10,6,4,0,6,4,2,0,5,3,2,0,5,3,2,0
1954,Missouri,Big 7,,0,10,4,6,0,6,3,3,0,4,3,1,0,6,1,5,0
1955,Missouri,Big 7,,0,10,1,9,0,6,1,5,0,5,0,5,0,5,1,4,0
1956,Missouri,Big 7,,0,10,4,6,0,6,3,3,0,5,3,2,0,5,1,4,0
1957,Missouri,Big 7,,0,10,6,4,0,6,3,3,0,6,3,3,0,4,3,1,0
1958,Missouri,Big 7,,0,10,5,5,0,6,4,2,0,5,3,2,0,5,2,3,0
1959,Missouri,Big 7,,0,11,6,5,0,6,4,2,0,5,3,2,0,5,3,2,0
1960,Missouri,Big 8,,0,11,10,1,0,7,6,1,0,5,4,1,0,5,5,0,0
1961,Missouri,Big 8,,0,10,7,3,0,7,5,2,0,4,3,1,0,6,4,2,0
1962,Missouri,Big 8,,0,11,9,2,0,7,5,2,0,5,5,0,0,5,3,2,0
1963,Missouri,Big 8,,0,10,7,3,0,7,5,2,0,5,2,3,0,5,5,0,0
1964,Missouri,Big 8,,0,10,7,3,0,7,5,2,0,6,5,1,0,4,2,2,0
1965,Missouri,Big 8,,0,11,8,3,0,7,6,1,0,4,2,2,0,6,5,1,0
1966,Missouri,Big 8,,0,10,6,4,0,7,4,3,0,4,3,1,0,6,3,3,0
1967,Missouri,Big 8,,0,10,7,3,0,7,4,3,0,5,4,1,0,5,3,2,0
1968,Missouri,Big 8,,0,11,8,3,0,7,5,2,0,5,4,1,0,5,3,2,0
1969,Missouri,Big 8,,0,11,9,2,0,7,6,1,0,6,6,0,0,4,3,1,0
1970,Missouri,Big 8,,0,11,5,6,0,7,3,4,0,7,4,3,0,4,1,3,0
1971,Missouri,Big 8,,0,11,1,10,0,7,0,7,0,6,1,5,0,5,0,5,0
1972,Missouri,Big 8,,0,12,6,6,0,7,3,4,0,6,4,2,0,5,2,3,0
1973,Missouri,Big 8,,0,12,8,4,0,7,3,4,0,6,5,1,0,5,2,3,0
1974,Missouri,Big 8,,0,11,7,4,0,7,5,2,0,5,5,0,0,6,2,4,0
1975,Missouri,Big 8,,0,11,6,5,0,7,3,4,0,5,3,2,0,6,3,3,0
1976,Missouri,Big 8,,0,11,6,5,0,7,3,4,0,5,2,3,0,6,4,2,0
1977,Missouri,Big 8,,0,11,4,7,0,7,3,4,0,6,2,4,0,5,2,3,0
1978,Missouri,Big 8,,0,12,8,4,0,7,4,3,0,6,4,2,0,5,3,2,0
1979,Missouri,Big 8,,0,12,7,5,0,7,3,4,0,6,1,5,0,5,5,0,0
1980,Missouri,Big 8,,0,12,8,4,0,7,5,2,0,6,5,1,0,5,3,2,0
1981,Missouri,Big 8,,0,12,8,4,0,7,3,4,0,7,5,2,0,4,2,2,0
1982,Missouri,Big 8,,0,11,6,5,0,7,3,4,0,6,6,0,0,5,0,5,0
1983,Missouri,Big 8,,0,12,7,5,0,7,5,2,0,7,5,2,0,4,2,2,0
1984,Missouri,Big 8,,0,11,3,8,0,7,2,5,0,5,2,3,0,6,1,5,0
1985,Missouri,Big 8,,0,11,1,10,0,7,1,6,0,7,0,7,0,4,1,3,0
1986,Missouri,Big 8,,0,11,3,8,0,7,2,5,0,6,2,4,0,5,1,4,0
1987,Missouri,Big 8,,0,11,5,6,0,7,3,4,0,7,4,3,0,4,1,3,0
1988,Missouri,Big 8,,0,11,3,8,0,7,2,5,0,5,1,4,0,6,2,4,0
1989,Missouri,Big 8,,0,11,2,9,0,7,1,6,0,6,1,5,0,5,1,4,0
1990,Missouri,Big 8,,0,11,4,7,0,7,2,5,0,6,3,3,0,5,1,4,0
1991,Missouri,Big 8,,0,11,3,8,0,7,1,6,0,5,3,2,0,6,0,6,0
1992,Missouri,Big 8,,0,11,3,8,0,7,2,5,0,6,3,3,0,5,0,5,0
1993,Missouri,Big 8,,0,11,3,8,0,7,2,5,0,4,3,1,0,7,0,7,0
1994,Missouri,Big 8,,0,12,4,8,0,7,2,5,0,7,1,6,0,5,3,2,0
1995,Missouri,Big 8,,0,11,3,8,0,7,1,6,0,6,3,3,0,5,0,5,0
1996,Missouri,Big 12,North,0,11,5,6,0,8,3,5,0,6,3,3,0,5,2,3,0
1997,Missouri,Big 12,North,0,12,7,5,0,8,5,3,0,6,4,2,0,5,3,2,0
1998,Missouri,Big 12,North,0,12,8,4,0,8,5,3,0,6,5,1,0,5,2,3,0
1999,Missouri,Big 12,North,0,11,4,7,0,8,1,7,0,6,3,3,0,5,1,4,0
2000,Missouri,Big 12,North,0,11,3,8,0,8,2,6,0,6,2,4,0,5,1,4,0
2001,Missouri,Big 12,North,0,11,4,7,0,8,3,5,0,6,2,4,0,5,2,3,0
2002,Missouri,Big 12,North,0,12,5,7,0,8,2,6,0,6,3,3,0,6,2,4,0
2003,Missouri,Big 12,North,0,13,8,5,0,8,4,4,0,7,7,0,0,6,1,5,0
2004,Missouri,Big 12,North,0,11,5,6,0,8,3,5,0,6,3,3,0,5,2,3,0
2005,Missouri,Big 12,North,0,12,7,5,0,8,4,4,0,7,5,2,0,5,2,3,0
2006,Missouri,Big 12,North,0,13,8,5,0,8,4,4,0,8,6,2,0,5,2,3,0
2007,Missouri,Big 12,North,0,14,12,2,0,9,7,2,0,7,6,1,0,7,6,1,0
2008,Missouri,Big 12,North,0,14,10,4,0,9,5,4,0,6,5,1,0,4,3,1,0
2009,Missouri,Big 12,North,0,13,8,5,0,8,4,4,0,6,3,3,0,4,3,1,0
2010,Missouri,Big 12,North,8.1,13,10,3,0,8,6,2,0,6,6,0,0,4,2,2,0
2011,Missouri,Big 12,,8,13,8,5,0,9,5,4,0,6,5,1,0,5,1,4,0
2012,Missouri,SEC,East,5.3,12,5,7,0,8,2,6,0,7,3,4,0,5,2,3,0
2013,Missouri,SEC,East,8,14,12,2,0,9,7,2,0,7,6,1,0,5,5,0,0
2014,Missouri,SEC,East,10.7,14,11,3,0,9,7,2,0,7,5,2,0,5,5,0,0
2015,Missouri,SEC,East,4.4,12,5,7,0,8,1,7,0,6,3,3,0,5,1,4,0
2016,Missouri,SEC,East,5.1,12,4,8,0,8,2,6,0,7,4,3,0,5,0,5,0
2017,Missouri,SEC,East,7.5,13,7,6,0,8,4,4,0,7,4,3,0,5,3,2,0
2018,Missouri,SEC,East,9.7,13,9,4,0,8,5,3,0,7,6,1,0,5,3,2,0
2019,Missouri,SEC,East,7.1,12,6,6,0,8,3,5,0,7,5,2,0,5,1,4,0
2020,Missouri,SEC,East,3.9,10,5,5,0,10,5,5,0,5,3,2,0,5,2,3,0
2021,Missouri,SEC,East,3.9,13,6,7,0,8,3,5,0,7,5,2,0,5,1,4,0
