year,team,conference,division,expectedWins,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
1933,Ole Miss,SEC,,0,11,8,3,0,5,3,2,0,8,7,1,0,3,1,2,0
1934,Ole Miss,SEC,,0,10,5,5,0,6,3,3,0,7,5,2,0,3,0,3,0
1935,Ole Miss,SEC,,0,12,9,3,0,4,3,1,0,6,6,0,0,5,3,2,0
1936,Ole Miss,SEC,,0,12,6,6,0,4,0,4,0,4,4,0,0,8,2,6,0
1937,Ole Miss,SEC,,0,10,5,5,0,4,0,4,0,5,4,1,0,5,1,4,0
1938,Ole Miss,SEC,,0,11,9,2,0,5,3,2,0,5,5,0,0,6,4,2,0
1939,Ole Miss,SEC,,0,9,7,2,0,4,2,2,0,4,3,1,0,5,4,1,0
1940,Ole Miss,SEC,,0,11,9,2,0,4,3,1,0,3,3,0,0,8,6,2,0
1941,Ole Miss,SEC,,0,9,7,2,0,4,3,1,0,4,3,1,0,5,4,1,0
1942,Ole Miss,SEC,,0,9,2,7,0,5,0,5,0,3,2,1,0,6,0,6,0
1944,Ole Miss,SEC,,0,8,2,6,0,5,2,3,0,3,1,2,0,5,1,4,0
1945,Ole Miss,SEC,,0,9,4,5,0,6,3,3,0,2,2,0,0,7,2,5,0
1946,Ole Miss,SEC,,0,9,2,7,0,7,1,6,0,3,1,2,0,6,1,5,0
1947,Ole Miss,SEC,,0,11,9,2,0,7,6,1,0,4,4,0,0,6,4,2,0
1948,Ole Miss,SEC,,0,9,8,1,0,7,6,1,0,4,4,0,0,5,4,1,0
1949,Ole Miss,SEC,,0,10,5,5,0,6,2,4,0,3,2,1,0,7,3,4,0
1950,Ole Miss,SEC,,0,10,5,5,0,6,1,5,0,4,4,0,0,6,1,5,0
1951,Ole Miss,SEC,,0,10,7,3,0,7,5,2,0,5,4,1,0,5,3,2,0
1952,Ole Miss,SEC,,0,11,10,1,0,7,6,1,0,6,6,0,0,4,4,0,0
1953,Ole Miss,SEC,,0,10,8,2,0,6,5,1,0,6,6,0,0,4,2,2,0
1954,Ole Miss,SEC,,0,11,9,2,0,5,5,0,0,4,4,0,0,6,5,1,0
1955,Ole Miss,SEC,,0,11,10,1,0,6,5,1,0,4,4,0,0,6,5,1,0
1956,Ole Miss,SEC,,0,10,7,3,0,6,4,2,0,6,5,1,0,4,2,2,0
1957,Ole Miss,SEC,,0,11,10,1,0,6,6,0,0,5,5,0,0,5,4,1,0
1958,Ole Miss,SEC,,0,11,9,2,0,6,4,2,0,4,4,0,0,6,4,2,0
1959,Ole Miss,SEC,,0,11,10,1,0,7,6,1,0,5,5,0,0,5,4,1,0
1960,Ole Miss,SEC,,0,11,10,1,0,6,5,1,0,3,3,0,0,7,6,1,0
1961,Ole Miss,SEC,,0,11,9,2,0,6,5,1,0,7,7,0,0,3,2,1,0
1962,Ole Miss,SEC,,0,10,10,0,0,6,6,0,0,6,6,0,0,3,3,0,0
1963,Ole Miss,SEC,,0,10,9,1,0,7,6,1,0,5,5,0,0,4,4,0,0
1964,Ole Miss,SEC,,0,11,6,5,0,7,3,4,0,6,4,2,0,4,2,2,0
1965,Ole Miss,SEC,,0,11,7,4,0,9,6,3,0,5,4,1,0,5,2,3,0
1966,Ole Miss,SEC,,0,11,8,3,0,7,5,2,0,6,5,1,0,4,3,1,0
1967,Ole Miss,SEC,,0,11,6,5,0,7,4,3,0,3,3,0,0,7,3,4,0
1968,Ole Miss,SEC,,0,11,7,4,0,6,3,3,0,5,4,1,0,5,2,3,0
1969,Ole Miss,SEC,,0,11,8,3,0,6,4,2,0,6,6,0,0,4,1,3,0
1970,Ole Miss,SEC,,0,11,7,4,0,7,4,3,0,6,4,2,0,4,3,1,0
1971,Ole Miss,SEC,,0,12,10,2,0,6,4,2,0,6,5,1,0,5,4,1,0
1972,Ole Miss,SEC,,0,10,5,5,0,7,2,5,0,5,2,3,0,5,3,2,0
1973,Ole Miss,SEC,,0,11,6,5,0,7,4,3,0,7,5,2,0,4,1,3,0
1974,Ole Miss,SEC,,0,11,3,8,0,6,0,6,0,4,2,2,0,7,1,6,0
1975,Ole Miss,SEC,,0,11,6,5,0,6,5,1,0,7,6,1,0,4,0,4,0
1976,Ole Miss,SEC,,0,11,5,6,0,7,3,4,0,4,3,1,0,7,2,5,0
1977,Ole Miss,SEC,,0,11,5,6,0,7,2,5,0,7,5,2,0,4,0,4,0
1978,Ole Miss,SEC,,0,11,5,6,0,6,2,4,0,5,4,1,0,6,1,5,0
1979,Ole Miss,SEC,,0,11,4,7,0,6,3,3,0,6,3,3,0,5,1,4,0
1980,Ole Miss,SEC,,0,11,3,8,0,7,2,5,0,6,2,4,0,5,1,4,0
1981,Ole Miss,SEC,,0,11,4,7,0,7,1,6,0,4,1,3,0,7,3,4,0
1982,Ole Miss,SEC,,0,11,4,7,0,6,0,6,0,6,4,2,0,5,0,5,0
1983,Ole Miss,SEC,,0,12,6,6,0,6,4,2,0,6,4,2,0,5,2,3,0
1984,Ole Miss,SEC,,0,11,5,6,0,6,1,5,0,7,5,2,0,4,0,4,0
1985,Ole Miss,SEC,,0,11,5,6,0,6,2,4,0,7,4,3,0,4,1,3,0
1986,Ole Miss,SEC,,0,12,8,4,0,6,4,2,0,6,5,1,0,5,2,3,0
1987,Ole Miss,SEC,,0,11,3,8,0,6,1,5,0,6,3,3,0,5,0,5,0
1988,Ole Miss,SEC,,0,11,5,6,0,7,3,4,0,6,3,3,0,5,2,3,0
1989,Ole Miss,SEC,,0,12,8,4,0,7,4,3,0,7,4,3,0,4,3,1,0
1990,Ole Miss,SEC,,0,12,9,3,0,7,5,2,0,6,5,1,0,5,4,1,0
1991,Ole Miss,SEC,,0,11,5,6,0,7,1,6,0,5,2,3,0,6,3,3,0
1992,Ole Miss,SEC,West,0,12,9,3,0,8,5,3,0,7,7,0,0,4,1,3,0
1993,Ole Miss,SEC,West,0,11,5,6,0,8,3,5,0,6,5,1,0,5,0,5,0
1994,Ole Miss,SEC,West,0,11,4,7,0,8,2,6,0,6,2,4,0,5,2,3,0
1995,Ole Miss,SEC,West,0,11,6,5,0,8,3,5,0,5,4,1,0,6,2,4,0
1996,Ole Miss,SEC,West,0,11,5,6,0,8,2,6,0,6,3,3,0,5,2,3,0
1997,Ole Miss,SEC,West,0,12,8,4,0,8,4,4,0,6,4,2,0,5,3,2,0
1998,Ole Miss,SEC,West,0,12,7,5,0,8,3,5,0,6,4,2,0,5,2,3,0
1999,Ole Miss,SEC,West,0,12,8,4,0,8,4,4,0,6,3,3,0,5,4,1,0
2000,Ole Miss,SEC,West,0,12,7,5,0,8,4,4,0,7,5,2,0,4,2,2,0
2001,Ole Miss,SEC,West,0,11,7,4,0,8,4,4,0,6,4,2,0,5,3,2,0
2002,Ole Miss,SEC,West,0,13,7,6,0,8,3,5,0,8,7,1,0,5,0,5,0
2003,Ole Miss,SEC,West,0,13,10,3,0,8,7,1,0,8,6,2,0,5,4,1,0
2004,Ole Miss,SEC,West,0,11,4,7,0,8,3,5,0,6,3,3,0,5,1,4,0
2005,Ole Miss,SEC,West,0,11,3,8,0,8,1,7,0,6,2,4,0,5,1,4,0
2006,Ole Miss,SEC,West,0,12,4,8,0,8,2,6,0,7,4,3,0,5,0,5,0
2007,Ole Miss,SEC,West,0,12,3,9,0,8,0,8,0,7,2,5,0,5,1,4,0
2008,Ole Miss,SEC,West,0,13,9,4,0,8,5,3,0,7,5,2,0,5,3,2,0
2009,Ole Miss,SEC,West,0,13,9,4,0,8,4,4,0,7,6,1,0,5,2,3,0
2010,Ole Miss,SEC,West,5.7,12,4,8,0,8,1,7,0,7,3,4,0,5,1,4,0
2011,Ole Miss,SEC,West,3.3,12,2,10,0,8,0,8,0,7,1,6,0,5,1,4,0
2012,Ole Miss,SEC,West,7.2,13,7,6,0,8,3,5,0,7,4,3,0,5,2,3,0
2013,Ole Miss,SEC,West,7.7,13,8,5,0,8,3,5,0,7,5,2,0,5,2,3,0
2014,Ole Miss,SEC,West,8,13,9,4,0,8,5,3,0,7,6,1,0,4,2,2,0
2015,Ole Miss,SEC,West,10.3,13,10,3,0,8,6,2,0,7,6,1,0,5,3,2,0
2016,Ole Miss,SEC,West,5.9,12,5,7,0,8,2,6,0,7,4,3,0,4,1,3,0
2017,Ole Miss,SEC,West,5.6,12,6,6,0,8,3,5,0,7,4,3,0,5,2,3,0
2018,Ole Miss,SEC,West,6.5,12,5,7,0,8,1,7,0,7,3,4,0,4,1,3,0
2019,Ole Miss,SEC,West,5.1,12,4,8,0,8,2,6,0,7,4,3,0,5,0,5,0
2020,Ole Miss,SEC,West,4.2,10,5,5,0,9,4,5,0,5,2,3,0,4,2,2,0
2021,Ole Miss,SEC,West,9,13,10,3,0,8,6,2,0,7,7,0,0,4,2,2,0
