year,team,conference,division,expectedWins,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
1992,South Carolina,SEC,East,0,11,5,6,0,8,3,5,0,6,3,3,0,5,2,3,0
1993,South Carolina,SEC,East,0,11,4,7,0,8,2,6,0,7,3,4,0,4,1,3,0
1994,South Carolina,SEC,East,0,12,7,5,0,8,4,4,0,6,2,4,0,5,4,1,0
1995,South Carolina,SEC,East,0,11,4,7,0,8,2,6,0,6,3,3,0,5,1,4,0
1996,South Carolina,SEC,East,0,11,6,5,0,8,4,4,0,6,3,3,0,5,3,2,0
1997,South Carolina,SEC,East,0,11,5,6,0,8,3,5,0,6,3,3,0,5,2,3,0
1998,South Carolina,SEC,East,0,11,1,10,0,8,0,8,0,6,1,5,0,5,0,5,0
1999,South Carolina,SEC,East,0,11,0,11,0,8,0,8,0,6,0,6,0,5,0,5,0
2000,South Carolina,SEC,East,0,12,8,4,0,8,5,3,0,6,5,1,0,5,2,3,0
2001,South Carolina,SEC,East,0,12,9,3,0,8,5,3,0,8,7,1,0,4,2,2,0
2002,South Carolina,SEC,East,0,12,5,7,0,8,3,5,0,6,3,3,0,6,2,4,0
2003,South Carolina,SEC,East,0,12,5,7,0,8,2,6,0,8,5,3,0,4,0,4,0
2004,South Carolina,SEC,East,0,11,6,5,0,8,4,4,0,6,3,3,0,5,3,2,0
2005,South Carolina,SEC,East,0,12,7,5,0,8,5,3,0,7,5,2,0,5,2,3,0
2006,South Carolina,SEC,East,0,13,8,5,0,8,3,5,0,8,4,4,0,5,4,1,0
2007,South Carolina,SEC,East,0,12,6,6,0,8,3,5,0,7,4,3,0,5,2,3,0
2008,South Carolina,SEC,East,0,13,7,6,0,8,4,4,0,7,5,2,0,5,2,3,0
2009,South Carolina,SEC,East,0,13,7,6,0,8,3,5,0,7,6,1,0,5,1,4,0
2010,South Carolina,SEC,East,9,14,9,5,0,9,5,4,0,7,6,1,0,5,3,2,0
2011,South Carolina,SEC,East,9.5,13,11,2,0,8,6,2,0,7,6,1,0,4,3,1,0
2012,South Carolina,SEC,East,8.9,13,11,2,0,8,6,2,0,7,7,0,0,5,3,2,0
2013,South Carolina,SEC,East,8.7,13,11,2,0,8,6,2,0,7,7,0,0,5,3,2,0
2014,South Carolina,SEC,East,5.4,13,7,6,0,8,3,5,0,7,4,3,0,5,2,3,0
2015,South Carolina,SEC,East,3.9,12,3,9,0,8,1,7,0,6,2,4,0,5,0,5,0
2016,South Carolina,SEC,East,6.6,13,6,7,0,8,3,5,0,7,5,2,0,5,1,4,0
2017,South Carolina,SEC,East,7.7,13,9,4,0,8,5,3,0,7,5,2,0,4,2,2,0
2018,South Carolina,SEC,East,5.6,13,7,6,0,8,4,4,0,7,5,2,0,5,2,3,0
2019,South Carolina,SEC,East,4.3,12,4,8,0,8,3,5,0,7,3,4,0,4,1,3,0
2020,South Carolina,SEC,East,2.7,10,2,8,0,10,2,8,0,5,1,4,0,5,1,4,0
2021,South Carolina,SEC,East,6.9,13,7,6,0,8,3,5,0,7,5,2,0,5,1,4,0
