year,team,conference,division,expectedWins,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
1903,Texas A&M,FBS Independents,,0,11,8,3,0,8,6,2,0,10,8,2,0,1,0,1,0
1904,Texas A&M,FBS Independents,,0,6,4,2,0,5,3,2,0,4,3,1,0,2,1,1,0
1905,Texas A&M,FBS Independents,,0,9,7,2,0,5,4,1,0,7,6,1,0,2,1,1,0
1906,Texas A&M,FBS Independents,,0,7,6,1,0,6,5,1,0,4,4,0,0,3,2,1,0
1907,Texas A&M,FBS Independents,,0,8,7,1,0,6,5,1,0,6,6,0,0,2,1,1,0
1908,Texas A&M,FBS Independents,,0,8,3,5,0,6,1,5,0,5,3,2,0,3,0,3,0
1909,Texas A&M,FBS Independents,,0,8,7,1,0,6,5,1,0,5,5,0,0,3,2,1,0
1910,Texas A&M,FBS Independents,,0,9,8,1,0,6,5,1,0,7,7,0,0,2,1,1,0
1911,Texas A&M,FBS Independents,,0,7,6,1,0,5,4,1,0,6,6,0,0,1,0,1,0
1912,Texas A&M,FBS Independents,,0,9,8,1,0,6,5,1,0,9,8,1,0,0,0,0,0
1913,Texas A&M,FBS Independents,,0,9,4,5,0,3,1,2,0,7,4,3,0,2,0,2,0
1914,Texas A&M,FBS Independents,,0,8,6,2,0,6,5,1,0,6,5,1,0,2,1,1,0
1915,Texas A&M,Southwest,,0,8,6,2,0,2,1,1,0,6,5,1,0,2,1,1,0
1916,Texas A&M,Southwest,,0,9,6,3,0,4,2,2,0,6,5,1,0,3,1,2,0
1917,Texas A&M,Southwest,,0,8,8,0,0,3,3,0,0,6,6,0,0,2,2,0,0
1918,Texas A&M,Southwest,,0,7,6,1,0,2,1,1,0,5,5,0,0,2,1,1,0
1919,Texas A&M,Southwest,,0,10,10,0,0,4,4,0,0,8,8,0,0,2,2,0,0
1920,Texas A&M,Southwest,,0,8,6,2,0,6,5,1,0,3,3,0,0,5,3,2,0
1921,Texas A&M,Southwest,,0,9,7,2,0,5,4,1,0,4,4,0,0,4,2,2,0
1922,Texas A&M,Southwest,,0,9,5,4,0,4,2,2,0,6,4,2,0,3,1,2,0
1923,Texas A&M,Southwest,,0,9,6,3,0,4,1,3,0,7,5,2,0,2,1,1,0
1924,Texas A&M,Southwest,,0,10,8,2,0,5,3,2,0,8,8,0,0,2,0,2,0
1925,Texas A&M,Southwest,,0,9,7,2,0,5,4,1,0,5,5,0,0,4,2,2,0
1926,Texas A&M,Southwest,,0,9,5,4,0,5,1,4,0,5,5,0,0,4,0,4,0
1927,Texas A&M,Southwest,,0,9,9,0,0,5,5,0,0,7,7,0,0,2,2,0,0
1928,Texas A&M,Southwest,,0,10,6,4,0,5,2,3,0,8,6,2,0,2,0,2,0
1929,Texas A&M,Southwest,,0,9,5,4,0,5,2,3,0,6,4,2,0,3,1,2,0
1930,Texas A&M,Southwest,,0,9,2,7,0,5,0,5,0,5,2,3,0,4,0,4,0
1931,Texas A&M,Southwest,,0,10,7,3,0,5,3,2,0,6,5,1,0,4,2,2,0
1932,Texas A&M,Southwest,,0,10,6,4,0,5,3,2,0,7,6,1,0,3,0,3,0
1933,Texas A&M,Southwest,,0,10,6,4,0,5,2,3,0,5,4,1,0,5,2,3,0
1934,Texas A&M,Southwest,,0,11,2,9,0,6,1,5,0,4,1,3,0,7,1,6,0
1935,Texas A&M,Southwest,,0,10,3,7,0,6,1,5,0,5,2,3,0,5,1,4,0
1936,Texas A&M,Southwest,,0,12,9,3,0,6,4,2,0,5,4,1,0,7,5,2,0
1937,Texas A&M,Southwest,,0,9,7,2,0,6,4,2,0,6,5,1,0,3,2,1,0
1938,Texas A&M,Southwest,,0,9,5,4,0,6,3,3,0,7,5,2,0,2,0,2,0
1939,Texas A&M,Southwest,,0,11,11,0,0,6,6,0,0,5,5,0,0,5,5,0,0
1940,Texas A&M,Southwest,,0,10,9,1,0,6,5,1,0,5,5,0,0,4,3,1,0
1941,Texas A&M,Southwest,,0,11,9,2,0,6,5,1,0,5,4,1,0,5,5,0,0
1942,Texas A&M,Southwest,,0,10,5,5,0,6,3,3,0,5,4,1,0,5,1,4,0
1943,Texas A&M,Southwest,,0,10,7,3,0,5,4,1,0,4,3,1,0,5,4,1,0
1944,Texas A&M,Southwest,,0,11,7,4,0,5,2,3,0,5,3,2,0,6,4,2,0
1945,Texas A&M,Southwest,,0,10,6,4,0,6,3,3,0,5,4,1,0,5,2,3,0
1946,Texas A&M,Southwest,,0,10,4,6,0,6,3,3,0,4,2,2,0,6,2,4,0
1947,Texas A&M,Southwest,,0,10,4,6,0,6,2,4,0,6,4,2,0,4,0,4,0
1948,Texas A&M,Southwest,,0,10,1,9,0,6,1,5,0,4,1,3,0,6,0,6,0
1949,Texas A&M,Southwest,,0,10,1,9,0,6,0,6,0,4,1,3,0,6,0,6,0
1950,Texas A&M,Southwest,,0,11,7,4,0,6,3,3,0,6,5,1,0,4,1,3,0
1951,Texas A&M,Southwest,,0,10,5,5,0,6,1,5,0,3,3,0,0,7,2,5,0
1952,Texas A&M,Southwest,,0,10,3,7,0,6,1,5,0,4,2,2,0,6,1,5,0
1953,Texas A&M,Southwest,,0,10,4,6,0,6,1,5,0,4,1,3,0,6,3,3,0
1954,Texas A&M,Southwest,,0,10,1,9,0,6,0,6,0,5,0,5,0,5,1,4,0
1955,Texas A&M,Southwest,,0,10,8,2,0,6,5,1,0,6,5,1,0,4,3,1,0
1956,Texas A&M,Southwest,,0,10,10,0,0,6,6,0,0,6,6,0,0,4,4,0,0
1957,Texas A&M,Southwest,,0,11,8,3,0,6,4,2,0,5,4,1,0,5,4,1,0
1958,Texas A&M,Southwest,,0,10,4,6,0,6,2,4,0,3,1,2,0,7,3,4,0
1959,Texas A&M,Southwest,,0,10,3,7,0,6,0,6,0,4,1,3,0,6,2,4,0
1960,Texas A&M,Southwest,,0,10,2,8,0,7,1,6,0,2,1,1,0,8,1,7,0
1961,Texas A&M,Southwest,,0,10,4,6,0,7,3,4,0,3,2,1,0,7,2,5,0
1962,Texas A&M,Southwest,,0,10,3,7,0,7,3,4,0,3,1,2,0,7,2,5,0
1963,Texas A&M,Southwest,,0,10,3,7,0,7,2,5,0,5,2,3,0,5,1,4,0
1964,Texas A&M,Southwest,,0,10,1,9,0,7,1,6,0,3,0,3,0,7,1,6,0
1965,Texas A&M,Southwest,,0,10,3,7,0,7,1,6,0,4,1,3,0,6,2,4,0
1966,Texas A&M,Southwest,,0,10,5,5,0,7,4,3,0,4,3,1,0,6,2,4,0
1967,Texas A&M,Southwest,,0,11,7,4,0,7,6,1,0,5,2,3,0,5,4,1,0
1968,Texas A&M,Southwest,,0,10,3,7,0,7,2,5,0,4,2,2,0,6,1,5,0
1969,Texas A&M,Southwest,,0,10,3,7,0,7,2,5,0,3,2,1,0,7,1,6,0
1970,Texas A&M,Southwest,,0,11,2,9,0,7,0,7,0,5,1,4,0,6,1,5,0
1971,Texas A&M,Southwest,,0,11,5,6,0,7,4,3,0,5,3,2,0,6,2,4,0
1972,Texas A&M,Southwest,,0,11,3,8,0,7,2,5,0,5,1,4,0,6,2,4,0
1973,Texas A&M,Southwest,,0,11,5,6,0,7,3,4,0,5,3,2,0,6,2,4,0
1974,Texas A&M,Southwest,,0,11,8,3,0,7,5,2,0,5,5,0,0,6,3,3,0
1975,Texas A&M,Southwest,,0,12,10,2,0,7,6,1,0,5,5,0,0,6,5,1,0
1976,Texas A&M,Southwest,,0,12,10,2,0,8,6,2,0,6,5,1,0,5,4,1,0
1977,Texas A&M,Southwest,,0,12,8,4,0,8,6,2,0,5,3,2,0,6,5,1,0
1978,Texas A&M,Southwest,,0,12,8,4,0,8,4,4,0,5,4,1,0,6,3,3,0
1979,Texas A&M,Southwest,,0,11,6,5,0,8,4,4,0,5,2,3,0,6,4,2,0
1980,Texas A&M,Southwest,,0,11,4,7,0,8,3,5,0,5,2,3,0,6,2,4,0
1981,Texas A&M,Southwest,,0,12,7,5,0,8,4,4,0,5,2,3,0,6,4,2,0
1982,Texas A&M,Southwest,,0,11,5,6,0,8,3,5,0,7,5,2,0,4,0,4,0
1983,Texas A&M,Southwest,,0,11,6,5,0,8,5,3,0,8,4,4,0,3,2,1,0
1984,Texas A&M,Southwest,,0,11,6,5,0,8,3,5,0,7,5,2,0,4,1,3,0
1985,Texas A&M,Southwest,,0,12,10,2,0,8,7,1,0,6,6,0,0,5,3,2,0
1986,Texas A&M,Southwest,,0,12,9,3,0,8,7,1,0,6,6,0,0,5,3,2,0
1987,Texas A&M,Southwest,,0,12,10,2,0,7,6,1,0,6,5,1,0,5,4,1,0
1988,Texas A&M,Southwest,,0,12,7,5,0,7,6,1,0,6,5,1,0,6,2,4,0
