year,team,conference,division,expectedWins,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
1933,Tennessee,SEC,,0,10,7,3,0,7,5,2,0,6,5,1,0,4,2,2,0
1934,Tennessee,SEC,,0,10,8,2,0,6,5,1,0,6,6,0,0,4,2,2,0
1935,Tennessee,SEC,,0,9,4,5,0,5,2,3,0,6,3,3,0,3,1,2,0
1936,Tennessee,SEC,,0,10,8,2,0,6,5,1,0,7,6,1,0,3,2,1,0
1937,Tennessee,SEC,,0,10,7,3,0,7,4,3,0,8,6,2,0,2,1,1,0
1938,Tennessee,SEC,,0,11,11,0,0,7,7,0,0,8,8,0,0,2,2,0,0
1939,Tennessee,SEC,,0,11,10,1,0,6,6,0,0,6,6,0,0,4,4,0,0
1940,Tennessee,SEC,,0,11,10,1,0,5,5,0,0,7,7,0,0,3,3,0,0
1941,Tennessee,SEC,,0,10,8,2,0,4,3,1,0,6,5,1,0,4,3,1,0
1942,Tennessee,SEC,,0,11,10,1,0,5,4,1,0,8,8,0,0,2,1,1,0
1944,Tennessee,SEC,,0,9,7,2,0,6,5,1,0,5,5,0,0,3,2,1,0
1945,Tennessee,SEC,,0,9,8,1,0,4,3,1,0,7,7,0,0,2,1,1,0
1946,Tennessee,SEC,,0,11,9,2,0,5,5,0,0,7,6,1,0,3,3,0,0
1947,Tennessee,SEC,,0,10,5,5,0,5,2,3,0,5,4,1,0,5,1,4,0
1948,Tennessee,SEC,,0,10,5,5,0,6,2,4,0,6,4,2,0,4,1,3,0
1949,Tennessee,SEC,,0,10,8,2,0,6,5,1,0,8,6,2,0,2,2,0,0
1950,Tennessee,SEC,,0,12,11,1,0,5,4,1,0,8,8,0,0,3,2,1,0
1951,Tennessee,SEC,,0,11,10,1,0,5,5,0,0,6,6,0,0,4,4,0,0
1952,Tennessee,SEC,,0,11,8,3,0,6,5,1,0,6,6,0,0,4,2,2,0
1953,Tennessee,SEC,,0,11,7,4,0,6,4,2,0,7,5,2,0,4,2,2,0
1954,Tennessee,SEC,,0,10,4,6,0,6,1,5,0,7,4,3,0,3,0,3,0
1955,Tennessee,SEC,,0,10,6,4,0,6,3,3,0,5,3,2,0,5,3,2,0
1956,Tennessee,SEC,,0,11,10,1,0,6,6,0,0,6,6,0,0,4,4,0,0
1957,Tennessee,SEC,,0,11,8,3,0,7,4,3,0,5,4,1,0,5,3,2,0
1958,Tennessee,SEC,,0,10,4,6,0,7,4,3,0,7,3,4,0,3,1,2,0
1959,Tennessee,SEC,,0,10,6,4,0,8,4,4,0,7,5,2,0,3,1,2,0
1960,Tennessee,SEC,,0,10,7,3,0,7,4,3,0,6,5,1,0,4,2,2,0
1961,Tennessee,SEC,,0,10,6,4,0,7,4,3,0,6,5,1,0,4,1,3,0
1962,Tennessee,SEC,,0,10,4,6,0,8,2,6,0,6,3,3,0,4,1,3,0
1963,Tennessee,SEC,,0,10,5,5,0,8,3,5,0,6,3,3,0,4,2,2,0
1964,Tennessee,SEC,,0,10,5,5,0,7,2,5,0,7,4,3,0,3,1,2,0
1965,Tennessee,SEC,,0,11,9,2,0,5,3,2,0,7,7,0,0,3,1,2,0
1966,Tennessee,SEC,,0,11,8,3,0,5,3,2,0,7,5,2,0,3,2,1,0
1967,Tennessee,SEC,,0,11,9,2,0,6,6,0,0,6,6,0,0,4,3,1,0
1968,Tennessee,SEC,,0,11,8,3,0,6,4,2,0,5,5,0,0,5,3,2,0
1969,Tennessee,SEC,,0,11,9,2,0,7,5,2,0,5,5,0,0,5,4,1,0
1970,Tennessee,SEC,,0,12,11,1,0,5,4,1,0,7,7,0,0,4,3,1,0
1971,Tennessee,SEC,,0,12,10,2,0,6,4,2,0,8,7,1,0,3,2,1,0
1972,Tennessee,SEC,,0,12,10,2,0,7,5,2,0,6,5,1,0,5,4,1,0
1973,Tennessee,SEC,,0,12,8,4,0,6,3,3,0,7,6,1,0,4,2,2,0
1974,Tennessee,SEC,,0,12,8,4,0,6,3,3,0,8,7,1,0,3,0,3,0
1975,Tennessee,SEC,,0,12,7,5,0,6,3,3,0,7,5,2,0,5,2,3,0
1976,Tennessee,SEC,,0,11,6,5,0,6,2,4,0,7,3,4,0,4,3,1,0
1977,Tennessee,SEC,,0,11,4,7,0,6,1,5,0,7,4,3,0,4,0,4,0
1978,Tennessee,SEC,,0,11,5,6,0,6,3,3,0,6,4,2,0,5,1,4,0
1979,Tennessee,SEC,,0,12,7,5,0,6,3,3,0,6,5,1,0,5,2,3,0
1980,Tennessee,SEC,,0,11,5,6,0,6,3,3,0,7,2,5,0,4,3,1,0
1981,Tennessee,SEC,,0,12,8,4,0,6,3,3,0,6,6,0,0,5,1,4,0
1982,Tennessee,SEC,,0,12,7,5,0,6,4,2,0,7,6,1,0,4,1,3,0
1983,Tennessee,SEC,,0,12,9,3,0,6,4,2,0,8,5,3,0,3,3,0,0
1984,Tennessee,SEC,,0,12,7,5,0,6,3,3,0,6,4,2,0,5,3,2,0
1985,Tennessee,SEC,,0,12,9,3,0,6,5,1,0,5,5,0,0,6,3,3,0
1986,Tennessee,SEC,,0,12,7,5,0,6,3,3,0,7,4,3,0,4,2,2,0
1987,Tennessee,SEC,,0,13,10,3,0,6,4,2,0,7,7,0,0,5,2,3,0
1988,Tennessee,SEC,,0,11,5,6,0,7,3,4,0,6,2,4,0,5,3,2,0
1989,Tennessee,SEC,,0,12,11,1,0,7,6,1,0,7,7,0,0,4,3,1,0
1990,Tennessee,SEC,,0,13,11,2,0,7,6,1,0,10,8,2,0,2,2,0,0
1991,Tennessee,SEC,,0,12,9,3,0,7,5,2,0,6,6,0,0,5,3,2,0
1992,Tennessee,SEC,East,0,12,9,3,0,8,5,3,0,6,4,2,0,5,4,1,0
1993,Tennessee,SEC,East,0,12,10,2,0,8,7,1,0,8,8,0,0,3,2,1,0
1994,Tennessee,SEC,East,0,12,8,4,0,8,5,3,0,6,4,2,0,5,3,2,0
1995,Tennessee,SEC,East,0,12,11,1,0,8,7,1,0,7,7,0,0,4,3,1,0
1996,Tennessee,SEC,East,0,12,10,2,0,8,7,1,0,7,6,1,0,4,3,1,0
1997,Tennessee,SEC,East,0,13,11,2,0,9,8,1,0,6,6,0,0,5,4,1,0
1998,Tennessee,SEC,East,0,13,13,0,0,9,9,0,0,6,6,0,0,5,5,0,0
1999,Tennessee,SEC,East,0,12,9,3,0,8,6,2,0,7,7,0,0,4,2,2,0
2000,Tennessee,SEC,East,0,12,8,4,0,8,5,3,0,6,5,1,0,5,3,2,0
2001,Tennessee,SEC,East,0,13,11,2,0,9,7,2,0,7,6,1,0,6,5,1,0
2002,Tennessee,SEC,East,0,13,8,5,0,8,5,3,0,9,5,4,0,4,3,1,0
2003,Tennessee,SEC,East,0,13,10,3,0,8,6,2,0,7,6,1,0,6,4,2,0
2004,Tennessee,SEC,East,0,13,10,3,0,9,7,2,0,8,5,3,0,5,5,0,0
2005,Tennessee,SEC,East,0,11,5,6,0,8,3,5,0,6,3,3,0,5,2,3,0
2006,Tennessee,SEC,East,0,13,9,4,0,8,5,3,0,7,5,2,0,6,4,2,0
2007,Tennessee,SEC,East,0,14,10,4,0,9,6,3,0,8,8,0,0,6,2,4,0
2008,Tennessee,SEC,East,0,12,5,7,0,8,3,5,0,7,4,3,0,5,1,4,0
2009,Tennessee,SEC,East,0,13,7,6,0,8,4,4,0,8,6,2,0,4,1,3,0
2010,Tennessee,SEC,East,6.8,13,6,7,0,8,3,5,0,7,4,3,0,5,2,3,0
2011,Tennessee,SEC,East,5.7,12,5,7,0,8,1,7,0,8,5,3,0,4,0,4,0
2012,Tennessee,SEC,East,7.4,12,5,7,0,8,1,7,0,7,4,3,0,4,0,4,0
2013,Tennessee,SEC,East,5.1,12,5,7,0,8,2,6,0,7,4,3,0,5,1,4,0
2014,Tennessee,SEC,East,7.8,13,7,6,0,8,3,5,0,7,4,3,0,5,2,3,0
2015,Tennessee,SEC,East,9.9,13,9,4,0,8,5,3,0,7,5,2,0,4,2,2,0
2016,Tennessee,SEC,East,8,13,9,4,0,8,4,4,0,7,6,1,0,4,1,3,0
2017,Tennessee,SEC,East,3.4,12,4,8,0,8,0,8,0,7,3,4,0,4,0,4,0
2018,Tennessee,SEC,East,4.4,12,5,7,0,8,2,6,0,7,4,3,0,4,1,3,0
2019,Tennessee,SEC,East,7.6,13,8,5,0,8,5,3,0,8,5,3,0,4,2,2,0
2020,Tennessee,SEC,East,3.3,10,3,7,0,10,3,7,0,5,1,4,0,5,2,3,0
2021,Tennessee,SEC,East,8.1,13,7,6,0,8,4,4,0,8,5,3,0,4,2,2,0
