year,team,conference,division,expectedWins,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
1902,Vanderbilt,FBS Independents,,0,9,8,1,0,6,5,1,0,4,3,1,0,5,5,0,0
1903,Vanderbilt,FBS Independents,,0,8,7,1,0,7,6,1,0,7,6,1,0,1,1,0,0
1904,Vanderbilt,FBS Independents,,0,9,9,0,0,5,5,0,0,6,6,0,0,3,3,0,0
1905,Vanderbilt,FBS Independents,,0,8,7,1,0,6,6,0,0,6,6,0,0,2,1,1,0
1906,Vanderbilt,FBS Independents,,0,9,8,1,0,6,6,0,0,7,7,0,0,2,1,1,0
1907,Vanderbilt,FBS Independents,,0,7,6,1,0,5,4,1,0,7,6,1,0,0,0,0,0
1908,Vanderbilt,FBS Independents,,0,10,7,3,0,5,3,2,0,7,6,1,0,3,1,2,0
1909,Vanderbilt,FBS Independents,,0,10,7,3,0,5,4,1,0,7,6,1,0,3,1,2,0
1910,Vanderbilt,FBS Independents,,0,9,9,0,0,6,6,0,0,8,8,0,0,1,1,0,0
1911,Vanderbilt,FBS Independents,,0,9,8,1,0,4,3,1,0,8,8,0,0,1,0,1,0
1912,Vanderbilt,FBS Independents,,0,10,9,1,0,6,5,1,0,8,8,0,0,2,1,1,0
1913,Vanderbilt,FBS Independents,,0,8,5,3,0,5,2,3,0,6,5,1,0,2,0,2,0
1914,Vanderbilt,FBS Independents,,0,8,2,6,0,6,0,6,0,6,2,4,0,2,0,2,0
1915,Vanderbilt,FBS Independents,,0,10,9,1,0,5,4,1,0,8,8,0,0,2,1,1,0
1916,Vanderbilt,FBS Independents,,0,9,7,2,0,6,4,2,0,5,5,0,0,4,2,2,0
1917,Vanderbilt,FBS Independents,,0,8,5,3,0,5,3,2,0,4,3,1,0,4,2,2,0
1918,Vanderbilt,FBS Independents,,0,6,4,2,0,3,3,0,0,5,3,2,0,1,1,0,0
1919,Vanderbilt,FBS Independents,,0,8,6,2,0,7,5,2,0,5,5,0,0,3,1,2,0
1920,Vanderbilt,FBS Independents,,0,9,5,4,0,8,4,4,0,4,3,1,0,5,2,3,0
1921,Vanderbilt,FBS Independents,,0,8,7,1,0,2,2,0,0,4,4,0,0,4,3,1,0
1922,Vanderbilt,Southern,,0,9,8,1,0,4,4,0,0,5,5,0,0,4,3,1,0
1923,Vanderbilt,Southern,,0,8,5,3,0,5,4,1,0,5,5,0,0,3,0,3,0
1924,Vanderbilt,Southern,,0,10,7,3,0,6,3,3,0,7,5,2,0,3,2,1,0
1925,Vanderbilt,Southern,,0,9,6,3,0,6,3,3,0,7,6,1,0,2,0,2,0
1926,Vanderbilt,Southern,,0,9,8,1,0,5,4,1,0,7,6,1,0,2,2,0,0
1927,Vanderbilt,Southern,,0,11,9,2,0,7,6,1,0,6,6,0,0,5,3,2,0
1928,Vanderbilt,Southern,,0,10,8,2,0,6,4,2,0,6,5,1,0,4,3,1,0
1929,Vanderbilt,Southern,,0,9,7,2,0,6,5,1,0,6,6,0,0,3,1,2,0
1930,Vanderbilt,Southern,,0,10,8,2,0,7,5,2,0,7,6,1,0,3,2,1,0
1931,Vanderbilt,Southern,,0,9,5,4,0,7,3,4,0,5,3,2,0,4,2,2,0
1932,Vanderbilt,Southern,,0,9,7,2,0,7,5,2,0,5,5,0,0,4,2,2,0
1933,Vanderbilt,SEC,,0,10,6,4,0,6,3,3,0,6,5,1,0,4,1,3,0
1934,Vanderbilt,SEC,,0,9,6,3,0,7,4,3,0,6,4,2,0,3,2,1,0
1935,Vanderbilt,SEC,,0,10,7,3,0,6,5,1,0,6,5,1,0,4,2,2,0
1936,Vanderbilt,SEC,,0,9,3,6,0,5,1,4,0,5,2,3,0,4,1,3,0
1937,Vanderbilt,SEC,,0,9,7,2,0,6,4,2,0,5,4,1,0,4,3,1,0
1938,Vanderbilt,SEC,,0,9,6,3,0,7,4,3,0,5,4,1,0,4,2,2,0
1939,Vanderbilt,SEC,,0,10,2,8,0,7,1,6,0,5,1,4,0,5,1,4,0
1940,Vanderbilt,SEC,,0,10,3,7,0,6,0,6,0,5,3,2,0,5,0,5,0
1941,Vanderbilt,SEC,,0,10,8,2,0,5,3,2,0,6,5,1,0,4,3,1,0
1942,Vanderbilt,SEC,,0,10,6,4,0,6,2,4,0,6,4,2,0,4,2,2,0
1945,Vanderbilt,SEC,,0,9,3,6,0,6,2,4,0,6,2,4,0,3,1,2,0
1946,Vanderbilt,SEC,,0,9,5,4,0,7,3,4,0,6,4,2,0,3,1,2,0
1947,Vanderbilt,SEC,,0,10,6,4,0,6,3,3,0,6,4,2,0,4,2,2,0
1948,Vanderbilt,SEC,,0,11,9,2,0,7,5,2,0,5,4,1,0,6,5,1,0
1949,Vanderbilt,SEC,,0,10,5,5,0,8,4,4,0,6,4,2,0,4,1,3,0
1950,Vanderbilt,SEC,,0,11,7,4,0,7,3,4,0,6,3,3,0,5,4,1,0
1951,Vanderbilt,SEC,,0,11,6,5,0,8,3,5,0,7,5,2,0,4,1,3,0
1952,Vanderbilt,SEC,,0,10,4,6,0,6,1,5,0,5,3,2,0,5,1,4,0
1953,Vanderbilt,SEC,,0,10,3,7,0,6,1,5,0,5,2,3,0,5,1,4,0
1954,Vanderbilt,SEC,,0,9,2,7,0,6,1,5,0,5,2,3,0,4,0,4,0
1955,Vanderbilt,SEC,,0,11,8,3,0,8,5,3,0,5,5,0,0,5,2,3,0
1956,Vanderbilt,SEC,,0,10,5,5,0,7,2,5,0,5,2,3,0,5,3,2,0
1957,Vanderbilt,SEC,,0,10,5,5,0,7,3,4,0,4,3,1,0,6,2,4,0
1958,Vanderbilt,SEC,,0,10,8,2,0,6,5,1,0,8,6,2,0,2,2,0,0
1959,Vanderbilt,SEC,,0,10,6,4,0,7,4,3,0,5,4,1,0,5,2,3,0
1960,Vanderbilt,SEC,,0,10,3,7,0,7,0,7,0,6,2,4,0,4,1,3,0
1961,Vanderbilt,SEC,,0,10,2,8,0,7,1,6,0,5,1,4,0,5,1,4,0
1962,Vanderbilt,SEC,,0,10,1,9,0,7,1,6,0,5,1,4,0,5,0,5,0
1963,Vanderbilt,SEC,,0,10,2,8,0,7,1,6,0,5,2,3,0,5,0,5,0
1964,Vanderbilt,SEC,,0,10,3,7,0,6,1,5,0,4,2,2,0,6,1,5,0
1965,Vanderbilt,SEC,,0,10,2,8,0,6,1,5,0,4,1,3,0,6,1,5,0
1966,Vanderbilt,SEC,,0,10,1,9,0,5,0,5,0,5,1,4,0,5,0,5,0
1967,Vanderbilt,SEC,,0,10,3,7,0,5,0,5,0,6,2,4,0,4,1,3,0
1968,Vanderbilt,SEC,,0,10,5,5,0,5,1,4,0,4,2,2,0,6,3,3,0
1969,Vanderbilt,SEC,,0,10,4,6,0,5,2,3,0,5,3,2,0,5,1,4,0
1970,Vanderbilt,SEC,,0,11,4,7,0,6,1,5,0,6,2,4,0,5,2,3,0
1971,Vanderbilt,SEC,,0,11,4,7,0,6,1,5,0,5,2,3,0,6,2,4,0
1972,Vanderbilt,SEC,,0,11,3,8,0,6,0,6,0,6,2,4,0,5,1,4,0
1973,Vanderbilt,SEC,,0,11,5,6,0,6,1,5,0,6,4,2,0,5,1,4,0
1974,Vanderbilt,SEC,,0,12,8,4,0,6,2,4,0,5,5,0,0,6,2,4,0
1975,Vanderbilt,SEC,,0,11,7,4,0,6,2,4,0,6,4,2,0,5,3,2,0
1976,Vanderbilt,SEC,,0,11,2,9,0,6,0,6,0,6,2,4,0,5,0,5,0
1977,Vanderbilt,SEC,,0,11,2,9,0,6,0,6,0,5,1,4,0,6,1,5,0
1978,Vanderbilt,SEC,,0,11,2,9,0,6,0,6,0,6,2,4,0,5,0,5,0
1979,Vanderbilt,SEC,,0,11,1,10,0,6,0,6,0,5,1,4,0,6,0,6,0
1980,Vanderbilt,SEC,,0,11,2,9,0,6,0,6,0,6,1,5,0,5,1,4,0
1981,Vanderbilt,SEC,,0,11,4,7,0,6,1,5,0,6,3,3,0,5,1,4,0
1982,Vanderbilt,SEC,,0,12,8,4,0,6,4,2,0,6,6,0,0,5,2,3,0
1983,Vanderbilt,SEC,,0,11,2,9,0,6,0,6,0,6,1,5,0,5,1,4,0
1984,Vanderbilt,SEC,,0,11,5,6,0,6,2,4,0,6,3,3,0,5,2,3,0
1985,Vanderbilt,SEC,,0,11,3,8,0,6,1,5,0,5,2,3,0,6,1,5,0
1986,Vanderbilt,SEC,,0,11,1,10,0,6,0,6,0,6,1,5,0,5,0,5,0
1987,Vanderbilt,SEC,,0,11,4,7,0,6,1,5,0,6,4,2,0,5,0,5,0
1988,Vanderbilt,SEC,,0,11,3,8,0,7,2,5,0,5,2,3,0,6,1,5,0
1989,Vanderbilt,SEC,,0,11,1,10,0,7,0,7,0,5,1,4,0,6,0,6,0
1990,Vanderbilt,SEC,,0,11,1,10,0,7,1,6,0,6,1,5,0,5,0,5,0
1991,Vanderbilt,SEC,,0,11,5,6,0,7,3,4,0,5,3,2,0,6,2,4,0
1992,Vanderbilt,SEC,East,0,11,4,7,0,8,2,6,0,6,2,4,0,5,2,3,0
1993,Vanderbilt,SEC,East,0,11,4,7,0,8,1,7,0,6,3,3,0,5,1,4,0
1994,Vanderbilt,SEC,East,0,11,5,6,0,8,2,6,0,6,2,4,0,5,3,2,0
1995,Vanderbilt,SEC,East,0,11,2,9,0,8,1,7,0,6,2,4,0,5,0,5,0
1996,Vanderbilt,SEC,East,0,11,2,9,0,8,0,8,0,6,1,5,0,5,1,4,0
1997,Vanderbilt,SEC,East,0,11,3,8,0,8,0,8,0,6,2,4,0,5,1,4,0
1998,Vanderbilt,SEC,East,0,11,2,9,0,8,1,7,0,6,2,4,0,5,0,5,0
1999,Vanderbilt,SEC,East,0,11,5,6,0,8,2,6,0,6,2,4,0,5,3,2,0
2000,Vanderbilt,SEC,East,0,11,3,8,0,8,1,7,0,6,1,5,0,5,2,3,0
2001,Vanderbilt,SEC,East,0,11,2,9,0,8,0,8,0,6,1,5,0,5,1,4,0
2002,Vanderbilt,SEC,East,0,12,2,10,0,8,0,8,0,7,2,5,0,5,0,5,0
2003,Vanderbilt,SEC,East,0,12,2,10,0,8,1,7,0,7,2,5,0,5,0,5,0
2004,Vanderbilt,SEC,East,0,11,2,9,0,8,1,7,0,6,2,4,0,5,0,5,0
2005,Vanderbilt,SEC,East,0,11,5,6,0,8,3,5,0,6,2,4,0,5,3,2,0
