"","year","cohort","chronname","gender","race","grad_100","grad_150","grad_100_rate","grad_150_rate","control","basic","flagship","long_x","lat_y","pell_value","pell_percentile","retain_value","retain_percentile","ft_fac_value","ft_fac_percentile","dummy","dummy1","dummy2","total.games","total.wins","total.losses"
"1",2002,"4y bach","Alabama","M","H","3","5",42.9,"71.4","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,10,3
"2",2002,"4y bach","Alabama","B","Ai","1","2",20,"40.0","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,10,3
"3",2002,"4y bach","Alabama","B","A","3","11",14.3,"52.4","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,10,3
"4",2002,"4y bach","Alabama","F","H","3","4",42.9,"57.1","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,10,3
"5",2002,"4y bach","Alabama","B","B","52","107",25.7,"53.0","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,10,3
"6",2002,"4y bach","Alabama","F","X","504","775",42.2,"64.9","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,10,3
"7",2002,"4y bach","Alabama","F","Ai","1","1",25,"25.0","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,10,3
"8",2002,"4y bach","Alabama","B","W","672","1137",37.8,"64.0","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,10,3
"9",2002,"4y bach","Alabama","F","B","42","76",33.3,"60.3","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,10,3
"10",2002,"4y bach","Alabama","M","A","1","4",10,"40.0","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,10,3
"11",2002,"4y bach","Alabama","F","W","455","685",43.6,"65.6","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,10,3
"12",2002,"4y bach","Alabama","B","X","744","1286",36.3,"62.8","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,10,3
"13",2002,"4y bach","Alabama","M","B","10","31",13.2,"40.8","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,10,3
"14",2002,"4y bach","Alabama","M","W","217","452",29.6,"61.7","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,10,3
"15",2002,"4y bach","Alabama","B","H","6","9",42.9,"64.3","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,10,3
"16",2002,"4y bach","Alabama","F","A","2","7",18.2,"63.6","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,10,3
"17",2002,"4y bach","Alabama","M","X","240","511",28.1,"59.8","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,10,3
"18",2003,"4y bach","Alabama","F","X","552","919",39.3,"65.5","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,4,9
"19",2003,"4y bach","Alabama","M","A","4","10",25,"62.5","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,4,9
"20",2003,"4y bach","Alabama","B","H","3","10",14.3,"47.6","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,4,9
"21",2003,"4y bach","Alabama","B","W","732","1355",34.7,"64.2","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,4,9
"22",2003,"4y bach","Alabama","F","A","5","10",33.3,"66.7","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,4,9
"23",2003,"4y bach","Alabama","F","B","75","135",35.5,"64.0","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,4,9
"24",2003,"4y bach","Alabama","B","Ai","6","14",24,"56.0","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,4,9
"25",2003,"4y bach","Alabama","M","W","270","601",27.8,"61.9","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,4,9
"26",2003,"4y bach","Alabama","F","Ai","4","10",23.5,"58.8","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,4,9
"27",2003,"4y bach","Alabama","M","H","2","5",20,"50.0","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,4,9
"28",2003,"4y bach","Alabama","M","X","307","688",26.3,"58.9","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,4,9
"29",2003,"4y bach","Alabama","B","B","96","194",26.4,"53.3","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,4,9
"30",2003,"4y bach","Alabama","M","Ai","2","4",25,"50.0","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,4,9
"31",2003,"4y bach","Alabama","B","A","9","20",29,"64.5","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,4,9
"32",2003,"4y bach","Alabama","F","W","462","754",40.5,"66.1","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,4,9
"33",2003,"4y bach","Alabama","B","X","859","1607",33.4,"62.5","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,4,9
"34",2003,"4y bach","Alabama","F","H","1","5",9.1,"45.5","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,4,9
"35",2003,"4y bach","Alabama","M","B","21","59",13.7,"38.6","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,13,4,9
"36",2004,"4y bach","Alabama","M","A","7","9",46.7,"60.0","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,12,6,6
"37",2004,"4y bach","Alabama","F","Ai","2","6",28.6,"85.7","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,12,6,6
"38",2004,"4y bach","Alabama","M","X","269","622",23.2,"53.6","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,12,6,6
"39",2004,"4y bach","Alabama","B","H","5","12",23.8,"57.1","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,12,6,6
"40",2004,"4y bach","Alabama","F","X","588","959",40.9,"66.7","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,12,6,6
"41",2004,"4y bach","Alabama","F","B","77","164",31,"66.1","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,12,6,6
"42",2004,"4y bach","Alabama","M","B","21","74",12.9,"45.4","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,12,6,6
"43",2004,"4y bach","Alabama","M","H","3","7",25,"58.3","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,12,6,6
"44",2004,"4y bach","Alabama","M","W","232","522",24.6,"55.4","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,12,6,6
"45",2004,"4y bach","Alabama","B","B","98","238",23.8,"57.9","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,12,6,6
"46",2004,"4y bach","Alabama","B","A","16","24",47.1,"70.6","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,12,6,6
"47",2004,"4y bach","Alabama","F","H","2","5",22.2,"55.6","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,12,6,6
"48",2004,"4y bach","Alabama","F","A","9","15",47.4,"78.9","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,12,6,6
"49",2004,"4y bach","Alabama","B","W","728","1287",34.9,"61.6","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,12,6,6
"50",2004,"4y bach","Alabama","B","Ai","2","9",10,"45.0","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,12,6,6
"51",2004,"4y bach","Alabama","F","W","496","765",43.3,"66.8","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,12,6,6
"52",2004,"4y bach","Alabama","B","X","857","1581",33,"60.9","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,12,6,6
"53",2005,"4y bach","Alabama","F","X","639","1016",42.6,"67.8","Public","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",1,1,1,12,10,2
