"","year","cohort","grad_100","grad_150","grad_100_rate","grad_150_rate","basic","flagship","long_x","lat_y","pell_value","pell_percentile","retain_value","retain_percentile","ft_fac_value","ft_fac_percentile","total.games","total.wins","total.losses","Alabama","Arkansas","Auburn","Florida","Georgia","Kentucky","LSU","Mississippi.State","Missouri","Ole.Miss","South.Carolina","Tennessee","Texas.A.M","Vanderbilt","M.H","F.H","F.X","F.Ai","F.B","F.W","M.B","M.W","M.X","M.Ai","Public","Private.not-for-profit"
"1",2002,"4y bach","3","5",42.9,"71.4","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",13,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"2",2002,"4y bach","3","4",42.9,"57.1","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",13,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"3",2002,"4y bach","504","775",42.2,"64.9","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",13,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"4",2002,"4y bach","1","1",25,"25.0","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",13,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"5",2002,"4y bach","42","76",33.3,"60.3","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",13,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"6",2002,"4y bach","455","685",43.6,"65.6","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",13,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"7",2002,"4y bach","10","31",13.2,"40.8","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",13,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"8",2002,"4y bach","217","452",29.6,"61.7","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",13,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"9",2002,"4y bach","240","511",28.1,"59.8","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",13,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"10",2003,"4y bach","552","919",39.3,"65.5","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",13,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"11",2003,"4y bach","75","135",35.5,"64.0","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",13,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"12",2003,"4y bach","270","601",27.8,"61.9","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",13,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"13",2003,"4y bach","4","10",23.5,"58.8","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",13,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"14",2003,"4y bach","2","5",20,"50.0","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",13,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"15",2003,"4y bach","307","688",26.3,"58.9","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",13,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"16",2003,"4y bach","2","4",25,"50.0","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",13,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"17",2003,"4y bach","462","754",40.5,"66.1","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",13,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"18",2003,"4y bach","1","5",9.1,"45.5","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",13,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"19",2003,"4y bach","21","59",13.7,"38.6","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",13,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"20",2004,"4y bach","2","6",28.6,"85.7","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",12,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"21",2004,"4y bach","269","622",23.2,"53.6","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",12,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"22",2004,"4y bach","588","959",40.9,"66.7","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",12,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"23",2004,"4y bach","77","164",31,"66.1","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",12,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"24",2004,"4y bach","21","74",12.9,"45.4","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",12,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"25",2004,"4y bach","3","7",25,"58.3","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",12,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"26",2004,"4y bach","232","522",24.6,"55.4","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",12,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"27",2004,"4y bach","2","5",22.2,"55.6","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",12,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"28",2004,"4y bach","496","765",43.3,"66.8","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",12,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"29",2005,"4y bach","639","1016",42.6,"67.8","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",12,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"30",2005,"4y bach","2","3",33.3,"50.0","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",12,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"31",2005,"4y bach","541","833",44.7,"68.9","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",12,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"32",2005,"4y bach","1","3",10,"30.0","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",12,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"33",2005,"4y bach","5","7",50,"70.0","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",12,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"34",2005,"4y bach","309","674",26,"56.7","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",12,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"35",2005,"4y bach","80","159",31.9,"63.3","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",12,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"36",2005,"4y bach","4","5",44.4,"55.6","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",12,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"37",2005,"4y bach","263","577",26.1,"57.3","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",12,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"38",2005,"4y bach","27","68",20.5,"51.5","Research Universities--high research activity","X",-87.545766,33.2144,"21.1","7","87","87","69.5","64",12,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
